Team,Abbreviation,Matches,Players,Age,Experience,RatingPoints,Supercoach,DreamTeamPoints,CoachesVotes,ForwardHalf,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,DisposalsPerOppositionTackle,Inside50s,Rebound50s,Rebound50sPerOppositionInside50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ThreatRating,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreClearances,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,MarksInside50PerInside50,InterceptMarks,MarksOnLead,GoalScorers_Total,GoalScorers,Goals,Behinds,RushedBehinds,ShotsAtGoal,GoalAssists,GoalAccuracy,GoalsPerInside50,ScoringShotsPerInside50,ShotsPerInside50,ScoreLaunches,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,xScore,xScoreRating,xScorePerShot,xScoreRatingPerShot,xScorePerShot_Set,xScoreRatingPerShot_Set,xScorePerShot_General,xScoreRatingPerShot_General,PointsFromKickIn,PointsFromStoppage,PointsFromTurnover,PointsFromDefensiveHalf,PointsFromForwardHalf,PointsFromCentreBounce,ChainToScore,D50ToF50,D50ToScore,DefHalfToF50,DefHalfToScore,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,Tackles,TacklesInside50,PressureActs,PressureActsDefensiveHalf,Spoils,RuckContests,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,FreesFor,FreesAgainst,FreesDiff,KickIns,KickInsPlayOnPercentage,Bounces,OnePercenters,InterchangeCount,RatingPoints_Opposition,Supercoach_Opposition,DreamTeamPoints_Opposition,CoachesVotes_Opposition,Kicks_Opposition,Handballs_Opposition,Disposals_Opposition,DisposalEfficiency_Opposition,KickingEfficiency_Opposition,HandballEfficiency_Opposition,OppositionDisposalsPerTackle,Inside50s_Opposition,Rebound50s_Opposition,OppositionRebound50sPerInside50s,MetresGained_Opposition,MetresGainedPerDisposal_Opposition,Clangers_Opposition,DisposalsPerClanger_Opposition,Turnovers_Opposition,DisposalsPerTurnover_Opposition,ThreatRating_Opposition,RetentionRating_Opposition,ContestedPossessions_Opposition,UncontestedPossessions_Opposition,TotalPossessions_Opposition,ContestedPossessionRate_Opposition,Intercepts_Opposition,GroundBallGets_Opposition,GroundBallGetsForward50_Opposition,HardBallGets_Opposition,LooseBallGets_Opposition,PostClearanceContestedPossessions_Opposition,PostClearanceGroundBallGets_Opposition,GathersFromHitout_Opposition,CrumbingPossessions_Opposition,HandballReceives_Opposition,CentreClearances_Opposition,StoppageClearances_Opposition,TotalClearances_Opposition,FirstPossessions_Opposition,FirstPossessionToClearance_Opposition,Marks_Opposition,ContestedMarks_Opposition,MarksInside50_Opposition,MarksInside50PerInside50_Opposition,InterceptMarks_Opposition,MarksOnLead_Opposition,Goals_Opposition,Behinds_Opposition,RushedBehinds_Opposition,ShotsAtGoal_Opposition,GoalAssists_Opposition,GoalAccuracy_Opposition,GoalsPerInside50_Opposition,ScoringShotsPerInside50_Opposition,ShotsPerInside50_Opposition,ScoreLaunches_Opposition,xScore_Opposition,xScoreRating_Opposition,xScorePerShot_Opposition,xScoreRatingPerShot_Opposition,xScorePerShot_Set_Opposition,xScoreRatingPerShot_Set_Opposition,xScorePerShot_General_Opposition,xScoreRatingPerShot_General_Opposition,PointsFromKickIn_Opposition,PointsFromStoppage_Opposition,PointsFromTurnover_Opposition,PointsFromDefensiveHalf_Opposition,PointsFromForwardHalf_Opposition,PointsFromCentreBounce_Opposition,ChainToScore_Opposition,D50ToF50_Opposition,D50ToScore_Opposition,DefHalfToF50_Opposition,DefHalfToScore_Opposition,Tackles_Opposition,TacklesInside50_Opposition,PressureActs_Opposition,PressureActsDefensiveHalf_Opposition,Spoils_Opposition,Hitouts_Opposition,HitoutsWinPercentage_Opposition,HitoutsToAdvantage_Opposition,HitoutsToAdvantagePercentage_Opposition,RuckHardBallGets_Opposition,KickIns_Opposition,KickInsPlayOnPercentage_Opposition,Bounces_Opposition,OnePercenters_Opposition,InterchangeCount_Opposition,RatingPoints_Diff,Supercoach_Diff,DreamTeamPoints_Diff,CoachesVotes_Diff,Kicks_Diff,Handballs_Diff,Disposals_Diff,Inside50s_Diff,MetresGained_Diff,Clangers_Diff,Turnovers_Diff,ThreatRating_Diff,RetentionRating_Diff,ContestedPossessions_Diff,UncontestedPossessions_Diff,TotalPossessions_Diff,Intercepts_Diff,GroundBallGets_Diff,GroundBallGetsForward50_Diff,HardBallGets_Diff,LooseBallGets_Diff,PostClearanceContestedPossessions_Diff,PostClearanceGroundBallGets_Diff,GathersFromHitout_Diff,CrumbingPossessions_Diff,HandballReceives_Diff,CentreClearances_Diff,StoppageClearances_Diff,TotalClearances_Diff,FirstPossessions_Diff,Marks_Diff,ContestedMarks_Diff,MarksInside50_Diff,InterceptMarks_Diff,MarksOnLead_Diff,Goals_Diff,Behinds_Diff,ShotsAtGoal_Diff,GoalAssists_Diff,ScoreLaunches_Diff,xScore_Diff,xScoreRating_Diff,xScorePerShot_Diff,PointsFromKickIn_Diff,PointsFromStoppage_Diff,PointsFromTurnover_Diff,PointsFromDefensiveHalf_Diff,PointsFromForwardHalf_Diff,PointsFromCentreBounce_Diff,Tackles_Diff,TacklesInside50_Diff,PressureActs_Diff,PressureActsDefensiveHalf_Diff,Spoils_Diff,Hitouts_Diff,HitoutsToAdvantage_Diff,RuckHardBallGets_Diff,Bounces_Diff,OnePercenters_Diff,InterchangeCount_Diff
Sydney,Syd,26,31.0,26.012,119.707,214.792,1696.154,1550.615,19.577,50.203,220.0,136.038,356.038,72.367,67.255,80.633,61.791,6.371,53.462,38.962,76.568,5833.269,16.384,56.115,6.345,66.846,5.326,0.237,1.727,129.423,217.692,347.115,37.285,66.577,87.885,14.346,21.538,66.385,80.615,58.385,10.231,22.538,106.346,12.154,24.038,36.192,40.615,74.242,95.538,7.923,11.308,21.151,14.077,6.5,27.0,8.769,14.0,11.577,2.077,26.692,10.077,52.45,26.187,47.842,49.928,25.154,10.115,27.376,84.049,9.451,3.149,0.354,3.47,0.309,2.796,0.403,3.192,37.308,55.077,35.923,47.462,12.192,22.448,24.37,9.916,32.238,13.564,8.423,28.767,58.346,9.462,285.808,133.731,36.346,90.115,39.962,44.345,11.154,27.911,2.538,18.269,17.808,0.462,11.0,89.86,8.038,49.423,69.692,196.365,1603.846,1493.385,11.0,212.962,139.885,352.846,71.855,65.613,81.358,6.047,50.885,38.654,72.302,5578.115,15.809,57.885,6.096,66.269,5.324,-1.198,-0.773,132.308,214.577,346.885,38.142,67.154,91.654,15.154,21.577,70.038,84.654,61.038,7.808,23.538,110.846,12.423,23.115,35.538,38.385,74.549,93.962,9.923,11.808,23.205,15.154,6.077,11.154,11.154,2.577,24.846,8.385,44.892,21.92,43.84,48.828,22.154,77.11,-1.61,3.104,-0.065,3.371,-0.087,2.762,-0.037,3.231,28.731,46.115,27.423,40.077,10.577,19.828,20.345,7.109,29.043,10.911,55.885,11.231,284.231,135.5,27.962,30.462,33.745,8.154,26.768,2.808,11.423,90.572,4.269,41.808,70.038,18.427,92.308,57.231,8.577,7.038,-3.846,3.192,2.577,255.154,-1.769,0.577,1.435,2.5,-2.885,3.115,0.231,-0.577,-3.769,-0.808,-0.038,-3.654,-4.038,-2.654,2.423,-1.0,-4.5,-0.269,0.923,0.654,2.231,1.577,-2.0,-0.5,-1.077,0.423,2.846,0.423,1.846,1.692,3.0,6.938,11.062,0.045,-0.038,8.577,8.962,8.5,7.385,1.615,2.462,-1.769,1.577,-1.769,8.385,9.5,3.0,-0.269,3.769,7.615,-0.346
Melbourne,Melb,23,36.0,25.898,112.796,203.391,1608.435,1496.609,14.217,47.736,212.783,133.0,345.783,70.715,65.877,78.457,61.537,6.09,49.043,41.826,77.643,5842.261,16.896,55.348,6.247,68.217,5.069,0.021,0.194,130.739,207.435,338.174,38.66,69.696,87.435,11.913,22.391,65.0,82.652,58.261,8.87,22.522,101.522,11.043,23.087,34.13,40.0,71.196,94.217,10.478,11.0,22.429,16.783,7.826,28.0,7.261,11.261,10.043,1.87,22.913,8.261,49.146,22.961,43.44,46.72,21.043,10.87,28.4,71.952,3.788,3.14,0.165,3.402,0.323,2.827,-0.023,3.609,33.217,40.783,31.565,36.261,9.783,18.772,22.006,9.836,28.772,11.39,10.0,24.348,58.13,10.652,300.0,141.565,30.783,89.348,36.826,41.217,10.174,27.627,4.522,16.304,17.348,-1.043,10.478,87.967,3.826,43.565,72.043,209.791,1691.87,1562.0,15.783,222.087,145.348,367.435,73.009,66.484,82.979,6.321,53.87,36.783,75.0,5901.957,16.063,54.435,6.75,69.565,5.282,-1.759,0.768,129.043,230.348,359.391,35.906,68.217,88.696,14.696,20.609,68.087,82.391,59.13,8.435,21.565,117.087,12.261,24.826,37.087,38.13,77.993,100.13,9.043,12.87,23.89,15.652,7.348,11.348,10.696,2.217,24.87,8.217,45.629,21.065,40.92,46.166,21.696,81.044,-4.479,3.259,-0.18,3.495,-0.104,2.959,-0.276,3.087,27.043,48.652,31.957,39.478,7.348,19.133,22.867,8.886,31.836,12.06,56.783,10.435,277.565,124.739,33.304,32.522,36.346,9.565,29.412,2.739,9.87,90.308,5.609,48.696,69.87,-6.4,-83.435,-65.391,-1.565,-9.304,-12.348,-21.652,-4.826,-59.696,0.913,-1.348,1.78,-0.574,1.696,-22.913,-21.217,1.478,-1.261,-2.783,1.783,-3.087,0.261,-0.87,0.435,0.957,-15.565,-1.217,-1.739,-2.957,1.87,-5.913,1.435,-1.87,1.13,0.478,-0.087,-0.652,-1.957,0.043,-0.652,-9.093,8.267,-0.119,0.522,6.174,-7.87,-0.391,-3.217,2.435,1.348,0.217,22.435,16.826,-2.522,4.304,0.609,1.783,-1.783,-5.13,2.174
Brisbane,Bris,27,37.0,26.309,124.948,211.678,1732.037,1601.667,20.444,53.097,232.63,128.741,361.37,72.697,67.999,81.185,64.374,5.843,56.519,35.963,75.155,6059.037,16.767,53.0,6.818,62.593,5.773,2.622,2.432,133.556,221.815,355.37,37.582,64.593,90.481,17.815,23.704,66.778,78.926,54.741,7.222,21.926,101.185,12.074,28.333,40.407,44.741,74.255,110.481,10.852,13.333,23.591,17.185,8.481,23.0,7.926,13.519,13.296,3.037,28.741,9.148,47.036,23.919,47.444,50.852,26.296,12.074,28.834,93.595,-2.224,3.257,-0.077,3.596,-0.149,2.902,-0.002,4.963,36.444,53.0,35.926,47.111,11.37,23.395,27.931,13.279,35.456,15.173,12.111,23.547,54.556,11.148,280.556,119.963,30.444,101.259,35.519,35.077,8.037,22.628,4.63,18.185,16.185,2.0,9.37,84.585,3.741,43.0,67.963,194.889,1568.111,1456.778,10.111,199.296,141.481,340.778,72.84,66.475,81.806,6.246,47.852,42.519,75.229,5787.926,16.984,58.741,5.801,64.185,5.309,-1.376,-1.137,125.148,205.63,330.778,37.835,62.815,84.259,12.815,21.926,62.333,75.852,53.0,9.074,20.074,112.185,11.556,24.333,35.889,40.519,72.395,82.852,9.407,10.704,22.368,14.852,5.778,11.148,9.519,1.778,22.519,7.778,49.507,23.297,43.189,47.059,20.593,71.533,3.097,3.177,0.138,3.459,0.142,2.839,0.132,5.593,32.148,38.667,32.333,31.741,12.333,18.752,20.698,8.319,28.483,11.059,61.852,10.519,283.444,148.852,31.407,43.63,43.103,9.852,22.581,3.593,13.222,89.636,6.63,43.778,70.148,16.789,163.926,144.889,10.333,33.333,-12.741,20.593,8.667,271.111,-5.741,-1.593,3.998,3.569,8.407,16.185,24.593,1.778,6.222,5.0,1.778,4.444,3.074,1.741,-1.852,1.852,-11.0,0.519,4.0,4.519,4.222,27.63,1.444,2.63,2.333,2.704,2.37,3.778,6.222,1.37,5.704,22.062,-5.321,0.08,-0.63,4.296,14.333,3.593,15.37,-0.963,-7.296,0.63,-2.889,-28.889,-0.963,-8.111,-1.815,1.037,-2.889,-0.778,-2.185
Carlton,Carl,24,37.0,26.069,92.194,219.262,1693.375,1551.583,15.75,47.92,217.083,142.083,359.167,72.633,66.372,82.199,60.441,5.411,51.708,39.667,75.257,5861.542,16.32,53.708,6.687,64.958,5.529,0.268,-0.791,137.958,214.542,352.5,39.137,65.875,91.417,16.625,21.957,68.957,82.522,58.174,9.043,22.304,111.957,13.083,26.5,39.583,45.348,74.497,91.375,10.5,11.208,21.676,15.458,6.542,33.0,8.333,13.625,10.833,2.5,25.458,9.333,53.519,26.35,47.301,49.234,24.083,13.125,27.937,83.534,6.336,3.295,0.25,3.69,0.298,2.816,0.192,3.5,37.125,51.958,33.522,45.217,13.583,21.135,20.494,8.476,29.592,12.288,9.667,25.0,63.375,11.917,294.083,142.083,29.167,99.167,32.667,32.941,10.083,30.867,6.478,18.792,17.667,1.125,10.583,80.709,4.625,40.833,70.833,210.333,1607.167,1502.375,14.25,203.625,140.667,344.292,72.092,66.626,80.006,5.433,52.708,37.417,72.361,5708.667,16.581,58.208,5.915,65.792,5.233,-0.131,1.004,130.458,205.833,336.292,38.793,65.042,88.708,15.25,20.609,68.391,81.0,58.13,8.478,22.913,109.087,12.625,25.292,37.917,40.739,75.454,86.708,9.958,12.292,23.32,15.208,5.0,12.458,10.708,2.208,25.167,8.292,49.503,23.636,43.953,47.747,22.875,86.062,-0.627,3.372,-0.025,3.696,0.038,2.973,-0.102,4.458,38.0,43.0,32.478,42.435,12.333,20.811,22.21,9.274,31.603,12.623,66.375,12.833,303.167,142.792,32.417,39.875,40.21,9.375,23.511,3.304,10.792,91.12,6.458,44.917,70.542,8.929,86.208,49.208,1.5,13.458,1.417,14.875,-1.0,152.875,-4.5,-0.833,0.399,-1.795,7.5,8.708,16.208,0.833,2.708,1.375,1.348,0.565,1.522,0.043,0.565,-0.609,2.87,0.458,1.208,1.667,4.609,4.667,0.542,-1.083,0.25,1.542,1.167,0.125,0.292,1.042,1.208,-2.528,6.963,-0.077,-0.958,-0.875,8.958,1.043,2.783,1.25,-3.0,-0.917,-9.083,-0.708,-3.25,-7.208,0.708,3.174,-1.833,-4.083,0.292
Gold Coast,GC,23,38.0,24.654,84.626,214.043,1631.87,1479.261,15.043,51.692,201.826,145.435,347.261,72.53,66.006,81.584,58.119,5.734,56.087,40.0,75.348,6098.174,17.561,55.478,6.259,69.565,4.992,-2.541,-1.73,131.304,209.783,341.087,38.496,71.435,88.0,15.261,22.913,65.13,85.217,62.0,9.652,23.348,115.261,11.565,24.0,35.565,39.13,77.222,84.739,9.261,10.609,18.915,18.435,5.826,31.0,7.609,12.217,10.391,2.043,24.478,8.478,49.911,21.783,40.31,43.643,22.304,12.304,28.269,79.237,2.416,3.237,0.099,3.545,0.015,2.843,0.206,3.043,28.217,52.435,33.174,39.652,10.87,19.496,24.449,8.628,33.483,12.09,11.565,21.053,59.043,10.957,299.435,136.522,34.478,94.13,42.043,44.665,10.957,26.06,2.913,19.565,16.913,2.652,9.478,91.743,5.652,47.0,70.696,217.07,1668.348,1531.391,14.957,215.87,145.087,360.957,73.368,67.17,82.589,6.113,53.087,42.957,76.589,6149.348,17.036,59.696,6.047,71.391,5.056,-0.677,0.366,131.913,222.304,354.217,37.241,69.652,91.478,16.261,23.783,67.739,83.913,61.435,8.304,23.478,115.652,12.13,25.348,37.478,40.391,77.61,92.261,8.957,10.826,20.393,16.217,8.391,12.478,9.609,1.783,23.913,8.304,52.182,23.505,41.605,45.045,22.0,76.669,6.027,3.206,0.252,3.525,0.387,2.835,0.095,4.261,30.478,49.739,32.13,42.217,10.13,19.129,24.366,11.111,30.7,11.715,60.565,10.174,286.478,137.826,29.0,33.391,35.457,8.957,26.823,3.043,10.13,89.7,8.087,42.913,69.0,-3.026,-36.478,-52.13,0.087,-14.043,0.348,-13.696,3.0,-51.174,-4.217,-1.826,-1.864,-2.096,-0.609,-12.522,-13.13,1.783,-3.478,-1.0,-0.87,-2.609,1.304,0.565,1.348,-0.13,-0.391,-0.565,-1.348,-1.913,-1.261,-7.522,0.304,-0.217,2.217,-2.565,-0.261,0.783,0.565,0.174,0.304,2.568,-3.611,0.031,-1.217,-2.261,2.696,1.043,-2.565,0.739,-1.522,0.783,12.957,-1.304,5.478,8.652,2.0,-0.13,-2.435,4.087,1.696
Richmond,Rich,23,42.0,25.793,94.94,186.487,1498.522,1394.87,6.739,47.027,199.696,138.522,338.217,71.963,65.447,81.356,59.044,6.016,47.87,41.261,72.222,5648.174,16.7,61.696,5.482,69.0,4.902,-2.929,-1.277,121.87,207.565,329.435,36.994,65.478,82.957,12.783,19.652,63.261,77.696,57.609,9.87,21.783,109.391,10.913,22.261,33.174,37.348,73.341,85.304,8.261,9.478,19.8,15.652,6.0,31.0,6.217,9.174,10.391,2.696,20.565,6.696,44.609,19.164,40.872,42.961,19.174,9.739,19.196,66.257,-3.517,3.222,-0.171,3.494,-0.161,2.927,-0.182,4.043,21.913,39.478,25.739,34.304,5.391,17.749,21.036,7.928,28.801,10.411,12.043,25.993,50.522,8.783,290.739,139.913,32.087,87.652,38.826,44.296,11.261,29.003,3.304,14.87,18.565,-3.696,11.522,87.17,7.609,44.391,70.304,225.283,1801.739,1652.304,23.261,230.696,149.565,380.261,75.086,68.997,84.477,7.527,57.13,37.609,78.565,6230.783,16.386,53.087,7.163,65.391,5.815,4.131,2.852,129.739,243.217,372.957,34.787,69.043,87.87,14.913,21.391,66.522,82.652,57.913,8.783,20.957,122.739,12.609,23.391,36.0,37.957,76.976,109.826,10.261,15.087,26.408,17.478,6.87,15.174,11.739,2.739,29.652,11.609,51.173,26.56,47.108,51.903,26.652,98.026,2.018,3.306,0.068,3.55,0.116,2.935,-0.005,7.043,35.304,60.435,41.913,48.0,12.87,23.566,26.498,12.097,35.119,15.459,56.217,10.0,283.174,129.565,27.043,32.739,37.37,9.565,29.216,2.435,10.13,88.412,7.478,40.565,70.783,-38.796,-303.217,-257.435,-16.522,-31.0,-11.043,-42.043,-9.261,-582.609,8.609,3.609,-7.06,-4.129,-7.87,-35.652,-43.522,-3.565,-4.913,-2.13,-1.739,-3.261,-4.957,-0.304,1.087,0.826,-13.348,-1.696,-1.13,-2.826,-0.609,-24.522,-2.0,-5.609,-1.826,-0.87,-6.0,-1.348,-9.087,-4.913,-7.478,-31.769,-5.535,-0.084,-3.0,-13.391,-20.957,-16.174,-13.696,-7.478,-5.696,-1.217,7.565,10.348,5.043,6.087,1.696,0.87,0.13,3.826,-0.478
Greater Western Sydney,GWS,25,34.0,25.316,96.303,219.944,1715.44,1573.0,16.36,49.283,208.88,163.64,372.52,72.941,67.273,80.176,56.072,6.508,50.6,42.12,77.086,5981.72,16.057,59.24,6.288,67.04,5.557,-0.957,-0.087,136.4,226.68,363.08,37.567,67.6,92.96,14.96,25.68,67.24,85.44,61.44,8.96,22.68,126.88,11.76,25.68,37.44,42.4,73.774,88.28,10.6,13.12,25.929,13.56,6.16,26.0,7.52,13.2,9.44,2.0,24.32,9.48,54.276,26.087,44.743,48.063,22.52,10.44,27.203,80.46,6.18,3.308,0.254,3.588,0.176,2.91,0.365,4.96,35.52,48.16,33.76,42.68,12.2,19.658,20.709,9.235,29.314,11.95,13.28,27.108,66.96,11.72,297.92,145.48,31.36,98.2,37.96,38.656,9.84,25.922,4.16,16.28,18.2,-1.92,11.92,93.289,7.0,45.24,70.52,208.188,1584.88,1449.8,13.64,203.44,141.36,344.8,70.534,64.412,79.344,5.149,54.64,36.84,72.806,5858.48,16.991,52.88,6.52,67.52,5.107,-1.108,-0.905,135.32,201.44,336.76,40.183,67.24,95.08,16.36,25.16,69.96,81.32,60.4,8.36,21.08,109.04,13.0,27.56,40.56,42.88,76.679,80.64,7.52,10.2,18.668,14.48,6.4,11.68,12.2,2.56,25.52,7.56,45.768,21.376,43.704,46.706,23.68,81.891,-2.171,3.209,-0.085,3.545,-0.276,2.854,0.117,3.64,32.6,46.04,29.64,40.68,11.96,20.537,21.816,8.455,30.695,11.804,57.24,10.96,312.0,136.88,30.44,36.8,37.49,9.2,25.0,3.84,9.4,93.191,4.36,43.68,71.0,11.756,130.56,123.2,2.72,5.44,22.28,27.72,-4.04,123.24,6.36,-0.48,0.152,0.818,1.08,25.24,26.32,0.36,-2.12,-1.4,0.52,-2.72,4.12,1.04,0.6,1.6,17.84,-1.24,-1.88,-3.12,-0.48,7.64,3.08,2.92,-0.92,-0.24,1.52,-2.76,-1.2,1.92,-1.16,-1.431,8.351,0.1,1.32,2.92,2.12,4.12,2.0,0.24,9.72,0.76,-14.08,8.6,0.92,1.16,0.64,0.32,2.64,1.56,-0.48
Collingwood,Coll,23,37.0,27.508,128.459,206.322,1612.739,1477.391,14.609,51.106,203.652,139.087,342.739,69.808,63.706,78.743,59.419,6.276,49.783,39.348,75.166,5780.739,16.866,61.696,5.555,64.565,5.308,-0.27,-0.124,130.478,200.0,330.478,39.482,66.696,86.478,15.957,18.826,67.652,80.826,57.261,10.391,23.435,105.435,12.565,24.783,37.348,40.696,74.573,81.174,9.217,11.739,23.581,14.957,5.957,33.0,8.565,12.522,11.435,2.348,26.609,8.913,47.059,25.153,48.122,53.45,23.826,8.522,25.0,83.436,0.782,3.136,0.029,3.421,-0.026,2.845,0.086,4.304,34.913,47.348,29.435,46.478,10.652,21.122,20.35,8.534,29.273,11.232,8.87,24.02,64.0,11.13,306.0,145.478,33.609,94.826,41.565,43.833,11.478,27.615,2.217,18.783,18.609,0.174,10.435,91.667,4.304,46.435,68.217,207.804,1687.261,1549.783,15.391,220.391,148.826,369.217,73.422,67.982,81.478,5.769,52.348,36.652,73.624,5857.0,15.863,58.217,6.342,66.565,5.547,0.171,0.673,131.913,227.435,359.348,36.709,64.826,90.913,15.522,21.522,69.435,80.696,58.348,8.783,23.217,117.13,12.0,25.435,37.435,42.783,72.256,97.826,9.043,10.87,20.764,16.174,5.174,12.304,10.652,2.174,24.783,8.478,49.649,23.505,43.854,47.342,22.696,78.73,3.574,3.177,0.144,3.509,0.133,2.811,0.156,4.913,32.826,46.739,32.783,41.478,10.217,20.32,21.689,9.714,30.784,12.696,54.609,9.043,284.0,137.652,30.391,34.348,36.239,9.696,28.228,2.957,11.391,88.55,4.304,43.609,69.435,-1.483,-74.522,-72.391,-0.783,-16.739,-9.739,-26.478,-2.565,-76.261,3.478,-2.0,-0.44,-0.796,-1.435,-27.435,-28.87,1.87,-4.435,0.435,-2.696,-1.783,0.13,-1.087,1.609,0.217,-11.696,0.565,-0.652,-0.087,-2.087,-16.652,0.174,0.87,-1.217,0.783,0.217,0.783,1.826,0.435,1.13,4.705,-2.792,-0.041,-0.609,2.087,0.609,-3.348,5.0,0.435,9.391,2.087,22.0,7.826,3.217,7.217,1.783,-0.739,0.0,2.826,-1.217
Essendon,Ess,23,35.0,25.944,109.792,211.03,1694.522,1609.087,14.087,51.218,221.348,159.0,380.348,73.754,66.51,83.839,58.196,7.302,55.696,36.565,72.688,5885.696,15.475,54.913,6.926,66.391,5.729,-1.772,1.412,129.043,241.478,370.522,34.828,68.609,86.87,15.087,21.261,65.652,83.217,59.826,10.087,23.13,129.783,12.957,22.565,35.522,38.435,75.566,98.87,9.348,12.217,21.936,15.739,9.696,29.0,7.652,11.957,10.522,2.391,24.435,9.0,48.932,21.468,40.359,43.872,22.304,9.913,25.439,78.998,0.871,3.233,0.036,3.491,0.124,2.906,-0.076,3.304,33.652,45.304,32.435,36.826,13.0,19.93,23.146,8.774,32.406,12.342,12.043,32.13,59.739,11.261,293.174,134.304,28.043,89.87,38.739,43.106,10.957,28.283,2.174,17.609,14.913,2.696,10.13,92.275,8.783,42.217,66.783,214.791,1605.304,1494.261,15.913,213.217,143.087,356.304,73.093,66.721,82.589,5.964,50.304,43.174,77.518,5964.87,16.741,57.217,6.227,68.435,5.206,1.593,1.403,128.957,218.826,347.783,37.08,66.522,90.783,15.261,22.609,68.13,80.913,59.913,8.304,22.087,114.913,11.87,24.435,36.304,40.174,74.567,93.0,9.043,11.826,23.509,14.348,6.261,12.957,10.261,2.478,24.826,9.739,52.189,25.756,46.154,49.352,22.652,81.252,4.269,3.267,0.172,3.589,0.163,2.917,0.181,3.913,32.696,51.391,35.043,39.87,13.087,20.352,23.972,10.06,30.326,12.642,52.087,8.87,299.652,139.87,32.174,33.478,37.306,9.609,28.701,3.0,10.348,87.815,6.609,44.957,69.783,-3.761,89.217,114.826,-1.826,8.13,15.913,24.043,5.391,-79.174,-2.304,-2.043,-3.365,0.009,0.087,22.652,22.739,2.087,-3.913,-0.174,-1.348,-2.478,2.304,-0.087,1.783,1.043,14.87,1.087,-1.87,-0.783,-1.739,5.87,0.304,0.391,1.391,3.435,-1.0,0.261,-0.391,-0.739,-0.348,-2.254,-3.398,-0.034,-0.609,0.957,-6.087,-2.609,-3.043,-0.087,7.652,2.391,-6.478,-5.565,-4.13,5.261,1.348,-0.826,2.174,-2.739,-3.0
Hawthorn,Haw,25,34.0,24.981,90.967,210.256,1691.6,1534.2,18.64,52.068,210.32,149.64,359.96,74.508,68.391,83.106,58.429,5.447,53.92,35.88,75.442,5927.4,16.467,54.48,6.607,62.32,5.776,1.652,2.266,131.68,223.72,355.4,37.051,65.96,90.84,15.16,22.12,68.72,82.04,59.44,9.88,22.68,120.64,11.6,25.12,36.72,39.64,75.883,91.04,8.44,12.84,23.813,15.28,6.28,27.0,7.92,13.24,11.0,1.84,26.84,9.36,49.329,24.555,44.955,49.777,24.04,10.44,24.138,88.491,0.109,3.297,0.004,3.552,-0.064,2.949,0.097,5.36,36.04,49.04,33.6,44.84,12.0,21.823,23.516,9.471,32.822,13.538,9.52,21.429,60.36,11.16,281.12,129.4,26.76,96.0,38.56,40.167,10.72,27.801,2.04,18.88,18.88,0.0,9.56,93.724,7.64,40.28,70.88,191.444,1608.44,1507.56,11.36,206.52,135.52,342.04,73.184,68.022,81.051,5.667,47.56,39.88,73.961,5598.28,16.367,56.84,6.018,65.64,5.211,-2.159,-0.644,127.2,206.64,333.84,38.102,62.52,82.44,12.52,20.52,61.92,77.8,54.04,10.08,21.8,106.56,10.96,25.0,35.96,40.32,74.405,92.44,9.8,10.8,22.708,14.72,5.72,11.04,9.76,2.2,22.16,8.0,49.819,23.213,43.734,46.594,20.56,70.885,2.915,3.199,0.132,3.439,0.077,2.885,0.203,2.32,33.16,40.52,26.12,38.96,10.92,19.265,20.38,7.515,28.273,10.351,66.08,9.68,302.28,146.56,29.64,39.28,40.798,11.16,28.411,3.68,10.84,90.406,5.72,41.0,70.04,18.812,83.16,26.64,7.28,3.8,14.12,17.92,6.36,329.12,-2.36,-3.32,3.811,2.91,4.48,17.08,21.56,3.44,8.4,2.64,1.6,6.8,4.24,5.4,-0.2,0.88,14.08,0.64,0.12,0.76,-0.68,-1.4,-1.36,2.04,0.56,0.56,2.2,1.24,4.68,1.36,3.48,17.606,-2.806,0.098,3.04,2.88,8.52,7.48,5.88,1.08,-5.72,1.48,-21.16,-17.16,-2.88,-0.72,-0.44,-1.64,1.92,-0.72,0.84
