Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Geelong,78,8,87,2,88,3,77,8,90,1,83,2,84,1
Western Bulldogs,86,1,90,1,92,1,68,14,71,9,84,1,82,2
Hawthorn,75,12,78,6,82,5,84,2,87,3,78,5,81,3
Adelaide,80,6,75,10,89,2,86,1,82,4,73,12,81,3
Gold Coast,82,3,83,3,79,6,82,4,75,7,79,4,80,5
GWS Giants,76,10,80,5,86,4,83,3,70,11,78,5,79,6
Brisbane,84,2,81,4,73,10,81,6,73,8,83,2,79,6
Collingwood,67,14,78,6,73,10,82,4,89,2,78,5,78,8
Carlton,82,3,70,13,67,12,78,7,82,4,76,8,76,9
Fremantle,77,9,77,8,76,8,77,8,70,11,74,11,75,10
Sydney,81,5,75,10,67,12,73,10,66,16,75,10,73,11
St Kilda,76,10,75,10,74,9,67,16,68,15,73,12,72,12
Melbourne,79,7,76,9,66,14,69,12,69,14,76,8,72,12
North Melbourne,73,13,67,14,78,7,61,18,66,16,71,14,69,14
Port Adelaide,67,14,63,16,64,15,71,11,79,6,66,16,68,15
Essendon,67,14,65,15,64,15,68,14,71,9,68,15,67,16
Richmond,61,17,63,16,61,17,69,12,60,18,65,17,63,17
West Coast,56,18,57,18,59,18,65,17,70,11,62,18,62,18
