Team,Jumper_No,Player,DOB,Height,Position,Games,Age,Origin
Adelaide,4,Callum Ah Chee,1997-10-09,182.0,Forward,171,28yr 6mth,South Fremantle
Adelaide,3,Sam Berry,2002-02-12,181.0,Midfield,82,24yr 2mth,Gippsland Power
Adelaide,21,Hugh Bond,2004-09-25,185.0,Defender,16,21yr 6mth,Greater Western Victoria Rebels
Adelaide,35,James Borlase,2002-07-18,192.0,Defender,18,23yr 9mth,Sturt
Adelaide,41,Jordon Butts,1999-12-31,195.0,Defender,89,26yr 3mth,Murray Bushrangers
Adelaide,15,Brayden Cook,2002-07-18,189.0,MidfieldForward,36,23yr 9mth,South Adelaide
Adelaide,33,Indy Cotton,2007-05-08,195.0,Forward,0,18yr 11mth,NBL One East
Adelaide,44,Isaac Cumming,1998-08-11,188.0,Midfield,110,27yr 8mth,Broken Hill
Adelaide,6,Daniel Curtin,2005-03-08,197.0,Midfield,32,21yr 1mth,Claremont
Adelaide,12,Jordan Dawson,1997-04-09,190.0,Midfield,160,29yr,Sturt
Adelaide,31,Billy Dowling,2004-07-01,187.0,MidfieldForward,10,21yr 9mth,North Adelaide
Adelaide,5,Sid Draper,2006-07-05,182.0,MidfieldForward,10,19yr 9mth,South Adelaide
Adelaide,11,Charlie Edwards,2005-05-18,191.0,DefenderMidfield,1,20yr 11mth,Sandringham Dragons
Adelaide,32,Darcy Fogarty,1999-09-25,192.0,Forward,129,26yr 6mth,Glenelg
Adelaide,20,Mitchell Hinge,1998-06-28,187.0,Defender,90,27yr 9mth,Glenelg
Adelaide,1,Chayce Jones,2000-01-14,180.0,DefenderMidfield,100,26yr 3mth,Launceston
Adelaide,48,Mark Keane,2000-03-17,194.0,Defender,56,26yr 1mth,Cork
Adelaide,2,Ben Keays,1997-02-23,185.0,Forward,167,29yr 1mth,Brisbane Reserves
Adelaide,29,Rory Laird,1993-12-29,178.0,Defender,273,32yr 3mth,West Adelaide
Adelaide,34,Archie Ludowyke,2007-11-19,197.0,Forward,0,18yr 5mth,Sandringham Dragons
Adelaide,36,Finnbar Maley,2003-07-18,197.0,Forward,11,22yr 9mth,Northern Bullants
Adelaide,26,Mitchell Marsh,2007-02-15,192.0,Forward,0,19yr 2mth,West Adelaide
Adelaide,42,Lachlan McAndrew,2000-05-26,209.0,Ruck,8,25yr 10mth,Sydney
Adelaide,16,Max Michalanney,2004-02-26,190.0,Defender,72,22yr 1mth,Norwood
Adelaide,30,Wayne Milera,1997-09-14,185.0,Defender,129,28yr 7mth,Central District
Adelaide,9,Nick Murray,2000-12-18,195.0,Defender,73,25yr 4mth,Allies
