Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Port Adelaide,67,14,60,17,66,14,70,14,84,3,65,17,69,14
West Coast,57,18,59,18,61,16,64,16,74,8,61,18,63,18
Melbourne,78,7,78,8,80,7,72,12,65,16,78,6,75,9
North Melbourne,69,13,70,13,79,8,60,18,66,15,69,14,69,14
Richmond,65,16,67,14,60,17,76,8,60,18,66,16,66,16
Western Bulldogs,87,2,89,1,92,1,75,11,76,7,83,2,84,1
Carlton,82,3,67,14,70,12,78,7,71,12,75,10,74,10
St Kilda,76,10,80,5,68,13,67,15,74,8,76,8,74,10
Essendon,63,17,62,16,60,17,62,17,74,8,68,15,65,17
Fremantle,79,5,71,11,75,9,80,4,79,6,75,10,76,8
GWS Giants,77,8,79,6,85,4,72,12,70,13,78,6,77,7
Adelaide,77,8,72,10,86,2,87,1,83,4,72,13,80,5
Sydney,75,12,81,4,75,9,76,8,64,17,76,8,74,10
Collingwood,66,15,71,11,65,15,80,4,90,1,75,10,74,10
Geelong,76,10,87,3,82,5,76,8,85,2,82,3,81,3
Gold Coast,81,4,88,2,86,2,84,2,73,11,81,4,82,2
Hawthorn,79,5,78,8,82,5,84,2,81,5,81,4,81,3
Brisbane,88,1,79,6,71,11,80,4,69,14,84,1,78,6
