Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Western Bulldogs,89,1,90,1,91,1,80,5,75,6,83,2,85,1
Hawthorn,80,5,79,5,83,4,85,2,82,5,82,3,82,2
Brisbane,89,1,81,4,74,9,80,5,68,15,85,1,80,3
Gold Coast,73,11,88,2,87,2,80,5,70,13,80,4,80,3
Sydney,79,7,86,3,80,6,78,9,63,18,79,5,78,5
Melbourne,81,4,77,9,80,6,73,11,75,6,79,5,78,5
Fremantle,87,3,78,7,70,11,81,3,71,11,78,8,78,5
Geelong,74,9,78,7,70,11,79,8,91,1,79,5,78,5
Adelaide,73,11,67,14,82,5,86,1,83,3,68,14,76,9
Carlton,80,5,69,12,75,8,78,9,75,6,76,10,76,9
North Melbourne,75,8,76,10,84,3,63,16,70,13,73,12,74,11
GWS Giants,73,11,79,5,74,9,67,15,73,9,77,9,74,11
Collingwood,62,16,69,12,67,15,81,3,83,3,71,13,72,13
St Kilda,74,9,76,10,68,14,70,14,72,10,74,11,72,13
Port Adelaide,65,14,61,17,70,11,73,11,85,2,65,16,70,15
Richmond,65,14,64,15,57,18,72,13,64,17,66,15,65,16
West Coast,62,16,60,18,67,15,60,17,71,11,63,18,64,17
Essendon,61,18,63,16,64,17,58,18,65,16,65,16,63,18
