Player,Team,Overall_Rating,data_provider_id,Athleticism_Rating,Kicking_Rating,Marking_Rating,Handballing_Rating,Tackling & Pressure_Rating,Hit-Ups & Groundball_Rating,Ruck_Rating
Jai Culley,Melbourne,,,,,,,,,
Bayley Fritsch,Melbourne,,,,,,,,,
Max Gawn,Melbourne,3.66,M.Gawn 30/12/1991,,,,,,,
Max Heath,Melbourne,,,,,,,,,
Jack Henderson,Melbourne,,,,,,,,,
Blake Howes,Melbourne,,,,,,,,,
Matthew Jefferson,Melbourne,,,,,,,,,
Changkuoth Jiath,Melbourne,,,,,,,,,
Aidan Johnson,Melbourne,,,,,,,,,
Luker Kentfield,Melbourne,,,,,,,,,
Ed Langdon,Melbourne,2.28,E.Langdon 1/2/1996,,,,,,,
Harvey Langford,Melbourne,,,,,,,,,
Bailey Laurie,Melbourne,,,,,,,,,
Jake Lever,Melbourne,,,,,,,,,
Xavier Lindsay,Melbourne,2.11,X.Lindsay 3/8/2006,,,,,,,
Thomas Matthews,Melbourne,,,,,,,,,
Steven May,Melbourne,2.78,S.May 10/1/1992,,,,,,,
Shane McAdam,Melbourne,,,,,,,,,
Tom McDonald,Melbourne,,,,,,,,,
Jake Melksham,Melbourne,2.68,J.Melksham 29/8/1991,,,,,,,
Ricky Mentha,Melbourne,,,,,,,,,
Brody Mihocek,Melbourne,2.6,B.Mihocek 4/2/1993,,,,,,,
Andy Moniz-Wakefield,Melbourne,,,,,,,,,
Riley Onley,Melbourne,,,,,,,,,
Harrison Petty,Melbourne,,,,,,,,,
Kysaiah Pickett,Melbourne,2.58,K.Pickett 2/6/2001,,,,,,,
Latrelle Pickett,Melbourne,,,,,,,,,
Trent Rivers,Melbourne,2.92,T.Rivers 30/7/2001,,,,,,,
Christian Salem,Melbourne,2.85,C.Salem 15/7/1995,,,,,,,
Harry Sharp,Melbourne,,,,,,,,,
Tom Sparrow,Melbourne,2.8,T.Sparrow 31/5/2000,,,,,,,
Jack Steele,Melbourne,2.92,J.Steele 13/12/1995,,,,,,,
Xavier Taylor,Melbourne,,,,,,,,,
Koltyn Tholstrup,Melbourne,,,,,,,,,
Daniel Turner,Melbourne,,,,,,,,,
Jacob Van Rooyen,Melbourne,,,,,,,,,
Jack Viney,Melbourne,2.65,J.Viney 13/4/1994,,,,,,,
Kalani White,Melbourne,,,,,,,,,
Caleb Windsor,Melbourne,,,,,,,,,
Jackson Archer,North Melbourne,,,,,,,,,
Zac Banch,North Melbourne,1.99,Z.Banch 21/1/2003,,,,,,,
Tom Blamires,North Melbourne,,,,,,,,,
Callum Coleman-Jones,North Melbourne,,,,,,,,,
Charlie Comben,North Melbourne,2.74,C.Comben 20/7/2001,,,,,,,
Aidan Corr,North Melbourne,,,,,,,,,
Paul Curtis,North Melbourne,3.22,P.Curtis 4/3/2003,,,,,,,
Caleb Daniel,North Melbourne,2.66,C.Daniel 7/7/1996,,,,,,,
Jack Darling,North Melbourne,2.72,J.Darling 13/6/1992,,,,,,,
Luke Davies-Uniacke,North Melbourne,2.92,L.Davies-Uniacke 8/6/1999,,,,,,,
Wil Dawson,North Melbourne,,,,,,,,,
Lachy Dovaston,North Melbourne,,,,,,,,,
Zane Duursma,North Melbourne,,,,,,,,,
Zac Fisher,North Melbourne,,,,,,,,,
Brayden George,North Melbourne,,,,,,,,,
Taylor Goad,North Melbourne,,,,,,,,,
Josh Goater,North Melbourne,,,,,,,,,
Robert Hansen,North Melbourne,,,,,,,,,
Riley Hardeman,North Melbourne,,,,,,,,,
Cooper Harvey,North Melbourne,,,,,,,,,
Jacob Konstanty,North Melbourne,2.12,J.Konstanty 9/11/2004,,,,,,,
Nick Larkey,North Melbourne,2.79,N.Larkey 6/6/1998,,,,,,,
Griffin Logue,North Melbourne,,,,,,,,,
Luke McDonald,North Melbourne,2.52,L.McDonald 9/2/1995,,,,,,,
Colby McKercher,North Melbourne,2.56,C.McKercher 12/4/2005,,,,,,,
Hugo Mikunda,North Melbourne,,,,,,,,,
Finn O'Sullivan,North Melbourne,2.31,F.O'Sullivan 30/5/2006,,,,,,,
Luke Parker,North Melbourne,2.72,L.Parker 25/10/1992,,,,,,,
Toby Pink,North Melbourne,,,,,,,,,
Tom Powell,North Melbourne,2.49,T.Powell 2/3/2002,,,,,,,
Bailey Scott,North Melbourne,,,,,,,,,
Harry Sheezel,North Melbourne,2.93,H.Sheezel 13/10/2004,,,,,,,
Jy Simpkin,North Melbourne,2.59,J.Simpkin 5/3/1998,,,,,,,
Charlie Spargo,North Melbourne,,,,,,,,,
Dylan Stephens,North Melbourne,2.4,D.Stephens 8/1/2001,,,,,,,
River Stevens,North Melbourne,,,,,,,,,
Blake Thredgold,North Melbourne,,,,,,,,,
Cooper Trembath,North Melbourne,,,,,,,,,
Luke Urquhart,North Melbourne,,,,,,,,,
George Wardlaw,North Melbourne,,,,,,,,,
Matt Whitlock,North Melbourne,,,,,,,,,
Tristan Xerri,North Melbourne,3.02,T.Xerri 15/3/1999,,,,,,,
Cameron Zurhaar,North Melbourne,2.89,C.Zurhaar 22/5/1998,,,,,,,
Aliir Aliir,Port Adelaide,2.99,A.Aliir 5/9/1994,,,,,,,
Tom Anastasopoulos,Port Adelaide,,,,,,,,,
Benny Barrett,Port Adelaide,,,,,,,,,
Miles Bergman,Port Adelaide,2.89,M.Bergman 18/10/2001,,,,,,,
Joe Berry,Port Adelaide,,,,,,,,,
Will Brodie,Port Adelaide,,,,,,,,,
Jase Burgoyne,Port Adelaide,2.95,J.Burgoyne 15/7/2003,,,,,,,
Zak Butters,Port Adelaide,3.2,Z.Butters 8/9/2000,,,,,,,
Darcy Byrne-Jones,Port Adelaide,2.59,D.Byrne-Jones 20/9/1995,,,,,,,
Tom Cochrane,Port Adelaide,,,,,,,,,
Willem Drew,Port Adelaide,2.41,W.Drew 1/10/1998,,,,,,,
Corey Durdin,Port Adelaide,,,,,,,,,
Logan Evans,Port Adelaide,,,,,,,,,
Kane Farrell,Port Adelaide,2.48,K.Farrell 17/3/1999,,,,,,,
Mitch Georgiades,Port Adelaide,2.96,M.Georgiades 28/9/2001,,,,,,,
Jason Horne-Francis,Port Adelaide,2.81,J.Horne-Francis 21/6/2003,,,,,,,
Lachlan Jones,Port Adelaide,,,,,,,,,
Josh Lai,Port Adelaide,,,,,,,,,
Mani Liddy,Port Adelaide,2.15,M.Liddy 20/2/2002,,,,,,,
Ollie Lord,Port Adelaide,,,,,,,,,
Will Lorenz,Port Adelaide,,,,,,,,,
Jack Lukosius,Port Adelaide,,,,,,,,,
Ewan Mackinlay,Port Adelaide,,,,,,,,,
Todd Marshall,Port Adelaide,,,,,,,,,
Jackson Mead,Port Adelaide,,,,,,,,,
Christian Moraes,Port Adelaide,,,,,,,,,
Jacob Moss,Port Adelaide,,,,,,,,,
Balyn O'Brien,Port Adelaide,,,,,,,,,
Sam Powell-Pepper,Port Adelaide,2.91,S.Powell-Pepper 8/1/1998,,,,,,,
Harrison Ramm,Port Adelaide,,,,,,,,,
Esava Ratugolea,Port Adelaide,3.21,E.Ratugolea 24/7/1998,,,,,,,
Joe Richards,Port Adelaide,2.7,J.Richards 23/11/1999,,,,,,,
Connor Rozee,Port Adelaide,3.34,C.Rozee 22/1/2000,,,,,,,
Josh Sinn,Port Adelaide,1.77,J.Sinn 7/1/2003,,,,,,,
Ivan Soldo,Port Adelaide,,,,,,,,,
Jordon Sweet,Port Adelaide,,,,,,,,,
Dante Visentini,Port Adelaide,,,,,,,,,
Xavier Walsh,Port Adelaide,,,,,,,,,
Jack Watkins,Port Adelaide,,,,,,,,,
Jacob Wehr,Port Adelaide,2.44,J.Wehr 5/7/1998,,,,,,,
Jack Whitlock,Port Adelaide,,,,,,,,,
Oliver Wines,Port Adelaide,,,,,,,,,
Mitch Zadow,Port Adelaide,,,,,,,,,
Brandon Zerk-Thatcher,Port Adelaide,,,,,,,,,
Jasper Alger,Richmond,1.84,J.Alger 17/12/2006,,,,,,,
Harry Armstrong,Richmond,1.96,H.Armstrong 14/6/2006,,,,,,,
Noah Balta,Richmond,2.25,N.Balta 23/10/1999,,,,,,,
Sam Banks,Richmond,2.5,S.Banks 2/4/2003,,,,,,,
Nathan Broad,Richmond,2.49,N.Broad 15/4/1993,,,,,,,
Tom Brown,Richmond,2.34,T.Brown 30/7/2003,,,,,,,
Seth Campbell,Richmond,2.74,S.Campbell 29/12/2004,,,,,,,
Judson Clarke,Richmond,,,,,,,,,
Sam Cumming,Richmond,,,,,,,,,
Jonty Faull,Richmond,2.02,J.Faull 1/2/2006,,,,,,,
Liam Fawcett,Richmond,,,,,,,,,
Josh Gibcus,Richmond,,,,,,,,,
Campbell Gray,Richmond,,,,,,,,,
Steely Green,Richmond,2.03,S.Green 9/1/2004,,,,,,,
Samuel Grlj,Richmond,,,,,,,,,
Oliver Hayes-Brown,Richmond,,,,,,,,,
Jacob Hopper,Richmond,2.62,J.Hopper 6/2/1997,,,,,,,
Taj Hotton,Richmond,2.69,T.Hotton 17/6/2006,,,,,,,
Sam Lalor,Richmond,2.78,S.Lalor 30/8/2006,,,,,,,
Mykelti Lefau,Richmond,,,,,,,,,
Tom Lynch,Richmond,2.66,T.Lynch 31/10/1992,,,,,,,
Rhyan Mansell,Richmond,2.6,R.Mansell 4/6/2000,,,,,,,
Kane McAuliffe,Richmond,2.56,K.McAuliffe 1/3/2005,,,,,,,
Ben Miller,Richmond,2.47,B.Miller 31/8/1999,,,,,,,
Toby Nankervis,Richmond,2.65,T.Nankervis 12/8/1994,,,,,,,
Zane Peucker,Richmond,,,,,,,,,
Dion Prestia,Richmond,2.49,D.Prestia 12/10/1992,,,,,,,
Hugo Ralphsmith,Richmond,2.56,H.Ralphsmith 9/11/2001,,,,,,,
Patrick Retschko,Richmond,,,,,,,,,
Maurice Rioli,Richmond,2.16,M.Rioli 1/9/2002,,,,,,,
Noah Roberts-Thomson,Richmond,,,,,,,,,
Jack Ross,Richmond,2.42,J.Ross 3/9/2000,,,,,,,
Samson Ryan,Richmond,1.61,S.Ryan 9/12/2000,,,,,,,
Jayden Short,Richmond,2.53,J.Short 24/1/1996,,,,,,,
Thomas Sims,Richmond,2.12,T.Sims 12/5/2006,,,,,,,
Josh Smillie,Richmond,,,,,,,,,
Kaleb Smith,Richmond,2.19,K.Smith 20/11/2004,,,,,,,
Tyler Sonsie,Richmond,1.88,T.Sonsie 27/1/2003,,,,,,,
Tim Taranto,Richmond,2.83,T.Taranto 28/1/1998,,,,,,,
Luke Trainor,Richmond,2.21,L.Trainor 10/4/2006,,,,,,,
James Trezise,Richmond,2.27,J.Trezise 15/6/2002,,,,,,,
Nick Vlastuin,Richmond,2.99,N.Vlastuin 19/4/1994,,,,,,,
Eamonn Armstrong,St Kilda,,,,,,,,,
Charlie Banfield,St Kilda,,,,,,,,,
James Barrat,St Kilda,,,,,,,,,
Hugh Boxshall,St Kilda,,,,,,,,,
Daniel Butler,St Kilda,,,,,,,,,
Ryan Byrnes,St Kilda,,,,,,,,,
Anthony Caminiti,St Kilda,2.61,A.Caminiti 9/12/2003,,,,,,,
Jack Carroll,St Kilda,,,,,,,,,
Hunter Clark,St Kilda,,,,,,,,,
Lance Collard,St Kilda,,,,,,,,,
Tom De Koning,St Kilda,2.78,T.De Koning 16/7/1999,,,,,,,
Alex Dodson,St Kilda,,,,,,,,,
Paddy Dow,St Kilda,,,,,,,,,
Kye Fincher,St Kilda,,,,,,,,,
Sam Flanders,St Kilda,2.98,S.Flanders 24/7/2001,,,,,,,
Hugo Garcia,St Kilda,,,,,,,,,
Max Hall,St Kilda,3.01,M.Hall 15/4/2002,,,,,,,
Angus Hastie,St Kilda,,,,,,,,,
Liam Henry,St Kilda,,,,,,,,,
Jack Higgins,St Kilda,2.55,J.Higgins 19/3/1999,,,,,,,
Bradley Hill,St Kilda,2.25,B.Hill 9/7/1993,,,,,,,
Dougal Howard,St Kilda,2.24,D.Howard 25/3/1996,,,,,,,
Isaac Keeler,St Kilda,,,,,,,,,
Max King,St Kilda,,,,,,,,,
Jackson Macrae,St Kilda,,,,,,,,,
Rowan Marshall,St Kilda,2.88,R.Marshall 24/11/1995,,,,,,,
Kobe McDonald,St Kilda,,,,,,,,,
Liam O'Connell,St Kilda,,,,,,,,,
Mitchito Owens,St Kilda,,,,,,,,,
Mattaes Phillipou,St Kilda,,,,,,,,,
Liam Ryan,St Kilda,2.7,L.Ryan 2/10/1996,,,,,,,
Patrick Said,St Kilda,,,,,,,,,
Cooper Sharman,St Kilda,2.84,C.Sharman 25/7/2000,,,,,,,
Jack Silvagni,St Kilda,3.03,J.Silvagni 17/12/1997,,,,,,,
Jack Sinclair,St Kilda,3.2,J.Sinclair 12/2/1995,,,,,,,
Liam Stocker,St Kilda,2.15,L.Stocker 23/1/2000,,,,,,,
Alix Tauru,St Kilda,,,,,,,,,
Tobie Travaglia,St Kilda,,,,,,,,,
Nasiah Wanganeen-Milera,St Kilda,3.24,N.Wanganeen-Milera 22/2/2003,,,,,,,
Callum Wilkie,St Kilda,2.97,C.Wilkie 10/3/1996,,,,,,,
Darcy Wilson,St Kilda,,,,,,,,,
Marcus Windhager,St Kilda,2.45,M.Windhager 16/5/2003,,,,,,,
Mason Wood,St Kilda,2.38,M.Wood 13/9/1993,,,,,,,
Taylor Adams,Sydney,,,,,,,,,
Joel Amartey,Sydney,2.55,J.Amartey 2/9/1999,,,,,,,
Riak Andrew,Sydney,,,,,,,,,
Riley Bice,Sydney,,,,,,,,,
Nick Blakey,Sydney,2.91,N.Blakey 27/2/2000,,,,,,,
Ned Bowman,Sydney,,,,,,,,,
Braeden Campbell,Sydney,2.6,B.Campbell 4/2/2002,,,,,,,
Noah Chamberlain,Sydney,,,,,,,,,
Caiden Cleary,Sydney,,,,,,,,,
Billy Cootee,Sydney,,,,,,,,,
Harry Cunningham,Sydney,,,,,,,,,
Charlie Curnow,Sydney,2.81,C.Curnow 3/2/1997,,,,,,,
Jesse Dattoli,Sydney,,,,,,,,,
Will Edwards,Sydney,,,,,,,,,
Will Green,Sydney,,,,,,,,,
Brodie Grundy,Sydney,3.13,B.Grundy 15/4/1994,,,,,,,
Errol Gulden,Sydney,3.38,E.Gulden 18/7/2002,,,,,,,
Joel Hamling,Sydney,,,,,,,,,
Tom Hanily,Sydney,,,,,,,,,
Isaac Heeney,Sydney,3.01,I.Heeney 5/5/1996,,,,,,,
Liam Hetherton,Sydney,,,,,,,,,
James Jordon,Sydney,2.06,J.Jordon 20/12/2000,,,,,,,
Max King,Sydney,,,,,,,,,
Harry Kyle,Sydney,,,,,,,,,
Peter Ladhams,Sydney,,,,,,,,,
Jake Lloyd,Sydney,,,,,,,,,
Tom McCartin,Sydney,2.81,T.McCartin 30/12/1999,,,,,,,
Logan McDonald,Sydney,,,,,,,,,
Justin McInerney,Sydney,2.5,J.McInerney 18/8/2000,,,,,,,
Hayden McLean,Sydney,,,,,,,,,
Lewis Melican,Sydney,2.38,L.Melican 4/11/1996,,,,,,,
Callum Mills,Sydney,,,,,,,,,
Tom Papley,Sydney,2.78,T.Papley 13/7/1996,,,,,,,
Jevan Phillipou,Sydney,,,,,,,,,
Dane Rampe,Sydney,2.3,D.Rampe 2/6/1990,,,,,,,
Matthew Roberts,Sydney,,,,,,,,,
Malcolm Rosas,Sydney,,,,,,,,,
James Rowbottom,Sydney,2.51,J.Rowbottom 19/9/2000,,,,,,,
Jai Serong,Sydney,,,,,,,,,
Angus Sheldrick,Sydney,,,,,,,,,
Patrick Snell,Sydney,,,,,,,,,
Chad Warner,Sydney,2.78,Ch.Warner 19/5/2001,,,,,,,
Corey Warner,Sydney,,,,,,,,,
Sam Wicks,Sydney,2.17,S.Wicks 14/9/1999,,,,,,,
Bo Allan,West Coast,,,,,,,,,
Sam Allen,West Coast,,,,,,,,,
Liam Baker,West Coast,3.25,L.Baker 27/1/1998,,,,,,,
Harry Barnett,West Coast,,,,,,,,,
Rhett Bazzo,West Coast,,,,,,,,,
Sandy Brock,West Coast,,,,,,,,,
Tyler Brockman,West Coast,,,,,,,,,
Malakai Champion,West Coast,,,,,,,,,
Tom Cole,West Coast,,,,,,,,,
Jamie Cripps,West Coast,2.58,J.Cripps 23/4/1992,,,,,,,
Hamish Davis,West Coast,,,,,,,,,
Tyrell Dewar,West Coast,,,,,,,,,
Cooper Duff-Tytler,West Coast,,,,,,,,,
Liam Duggan,West Coast,2.58,L.Duggan 11/12/1996,,,,,,,
Willem Duursma,West Coast,,,,,,,,,
Harry Edwards,West Coast,,,,,,,,,
Matthew Flynn,West Coast,,,,,,,,,
Reuben Ginbey,West Coast,2.62,R.Ginbey 10/9/2004,,,,,,,
Jack Graham,West Coast,2.61,J.Graham 25/2/1998,,,,,,,
Lucca Grego,West Coast,,,,,,,,,
Tom Gross,West Coast,,,,,,,,,
Clay Hall,West Coast,,,,,,,,,
Elijah Hewett,West Coast,2.11,E.Hewett 27/5/2004,,,,,,,
Brady Hough,West Coast,2.38,B.Hough 5/3/2003,,,,,,,
Jack Hutchinson,West Coast,,,,,,,,,
Harvey Johnston,West Coast,,,,,,,,,
Tim Kelly,West Coast,,,,,,,,,
Josh Lindsay,West Coast,,,,,,,,,
Noah Long,West Coast,,,,,,,,,
Finlay Macrae,West Coast,,,,,,,,,
Ryan Maric,West Coast,2.46,R.Maric 6/9/2004,,,,,,,
Tom McCarthy,West Coast,,,,,,,,,
Jacob Newton,West Coast,,,,,,,,,
Matt Owies,West Coast,,,,,,,,,
Archer Reid,West Coast,,,,,,,,,
Harley Reid,West Coast,2.49,H.Reid 17/4/2005,,,,,,,
Deven Robertson,West Coast,,,,,,,,,
Fred Rodriguez,West Coast,,,,,,,,,
Harry Schoenberg,West Coast,,,,,,,,,
Jobe Shanahan,West Coast,,,,,,,,,
Brandon Starcevich,West Coast,2.09,B.Starcevich 24/7/1999,,,,,,,
Jake Waterman,West Coast,2.54,J.Waterman 6/5/1998,,,,,,,
Bailey J. Williams,West Coast,,,,,,,,,
Jack Williams,West Coast,,,,,,,,,
Tylah Williams,West Coast,,,,,,,,,
Elliot Yeo,West Coast,2.91,E.Yeo 1/10/1993,,,,,,,
Tylar Young,West Coast,2.61,T.Young 5/9/1998,,,,,,,
Oskar Baker,Western Bulldogs,,,,,,,,,
Marcus Bontempelli,Western Bulldogs,3.36,M.Bontempelli 24/11/1995,,,,,,,
Lachlan Bramble,Western Bulldogs,2.4,L.Bramble 19/4/1998,,,,,,,
Connor Budarick,Western Bulldogs,,,,,,,,,
Jedd Busslinger,Western Bulldogs,,,,,,,,,
Lachlan Carmichael,Western Bulldogs,,,,,,,,,
Luke Cleary,Western Bulldogs,,,,,,,,,
Nicholas Coffield,Western Bulldogs,,,,,,,,,
Jordan Croft,Western Bulldogs,,,,,,,,,
Bailey Dale,Western Bulldogs,2.99,B.Dale 22/7/1996,,,,,,,
Sam Darcy,Western Bulldogs,3.87,S.Darcy 19/7/2003,,,,,,,
Will Darcy,Western Bulldogs,,,,,,,,,
Sam Davidson,Western Bulldogs,,,,,,,,,
Josh Dolan,Western Bulldogs,,,,,,,,,
Louis Emmett,Western Bulldogs,,,,,,,,,
Timothy English,Western Bulldogs,,,,,,,,,
Joel Freijah,Western Bulldogs,2.46,J.Freijah 14/11/2005,,,,,,,
Harvey Gallagher,Western Bulldogs,,,,,,,,,
Riley Garcia,Western Bulldogs,,,,,,,,,
Ryan Gardner,Western Bulldogs,,,,,,,,,
James Harmes,Western Bulldogs,,,,,,,,,
Cooper Hynes,Western Bulldogs,,,,,,,,,
Lachie Jaques,Western Bulldogs,,,,,,,,,
Arthur Jones,Western Bulldogs,,,,,,,,,
Luke Kennedy,Western Bulldogs,,,,,,,,,
Matthew Kennedy,Western Bulldogs,2.87,M.Kennedy 6/4/1997,,,,,,,
Buku Khamis,Western Bulldogs,,,,,,,,,
Will Lewis,Western Bulldogs,,,,,,,,,
Thomas Liberatore,Western Bulldogs,,,,,,,,,
Rory Lobb,Western Bulldogs,2.89,R.Lobb 9/2/1993,,,,,,,
Lachlan McNeil,Western Bulldogs,2.2,L.McNeil 2/9/2001,,,,,,,
Aaron Naughton,Western Bulldogs,3.02,A.Naughton 30/11/1999,,,,,,,
James O'Donnell,Western Bulldogs,2.42,J.O'Donnell 31/8/2002,,,,,,,
Ed Richards,Western Bulldogs,2.93,E.Richards 3/7/1999,,,,,,,
Ryley Sanders,Western Bulldogs,2.28,R.Sanders 21/1/2005,,,,,,,
Michael Sellwood,Western Bulldogs,,,,,,,,,
Lachlan Smith,Western Bulldogs,,,,,,,,,
Adam Treloar,Western Bulldogs,2.25,A.Treloar 9/3/1993,,,,,,,
Laitham Vandermeer,Western Bulldogs,2.37,L.Vandermeer 3/2/1999,,,,,,,
Zac Walker,Western Bulldogs,,,,,,,,,
Cody Weightman,Western Bulldogs,,,,,,,,,
Rhylee West,Western Bulldogs,3.13,R.West 12/7/2000,,,,,,,
Bailey Williams,Western Bulldogs,2.93,B.Williams 10/10/1997,,,,,,,
