Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Sydney,82,4,87,2,83,4,85,3,73,8,80,3,82,1
Hawthorn,80,6,78,7,81,5,80,6,84,4,81,2,81,2
Geelong,76,9,79,6,73,11,79,7,91,1,79,6,80,3
Western Bulldogs,86,2,86,3,81,5,74,10,69,12,79,6,79,4
Gold Coast,71,12,88,1,84,3,81,5,67,14,80,3,78,5
GWS Giants,79,8,80,5,76,10,73,12,78,6,80,3,78,5
Brisbane,88,1,78,7,78,9,75,9,65,17,85,1,78,5
Melbourne,76,9,76,10,85,2,70,13,71,11,77,8,76,8
North Melbourne,81,5,83,4,87,1,65,15,63,18,77,8,76,8
Fremantle,84,3,78,7,65,16,86,2,68,13,77,8,76,8
Adelaide,70,13,66,16,80,8,87,1,86,3,69,14,76,8
Carlton,80,6,67,15,73,11,77,8,80,5,75,11,75,12
Collingwood,64,15,72,12,66,15,85,3,88,2,72,13,74,13
St Kilda,73,11,74,11,68,14,74,10,76,7,73,12,73,14
Port Adelaide,64,15,69,13,73,11,70,13,73,8,67,15,69,15
Essendon,65,14,68,14,81,5,59,18,66,16,67,15,68,16
West Coast,62,17,57,18,62,17,61,17,73,8,62,18,63,17
Richmond,61,18,60,17,54,18,64,16,67,14,63,17,62,18
