Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Adelaide,75,8,68,13,78,7,87,1,90,1,73,11,78,5
Brisbane,89,1,76,8,74,10,72,12,64,17,81,3,76,8
Carlton,78,6,61,18,68,14,78,6,83,3,72,13,73,10
Collingwood,61,17,71,11,75,8,81,4,74,8,66,16,71,14
Essendon,60,18,66,15,73,11,58,18,63,18,65,17,64,18
Fremantle,88,2,81,6,69,13,82,3,70,13,78,7,78,5
Geelong,69,13,67,14,63,16,78,6,88,2,73,11,73,10
Gold Coast,72,11,91,1,92,1,80,5,74,8,83,1,82,2
GWS Giants,72,11,76,8,63,16,70,14,71,12,75,10,71,14
Hawthorn,81,4,81,6,75,8,76,9,79,4,83,1,79,4
Melbourne,75,8,73,10,79,6,67,16,77,6,79,6,75,9
North Melbourne,79,5,82,4,84,4,73,11,69,15,76,8,77,7
Port Adelaide,68,15,82,4,80,5,74,10,65,16,71,14,73,10
Richmond,66,16,62,17,57,18,70,14,73,10,64,18,65,17
St Kilda,75,8,70,12,65,15,72,12,76,7,76,8,72,13
Sydney,78,6,88,2,87,2,86,2,78,5,81,3,83,1
West Coast,69,13,63,16,71,12,62,17,72,11,67,15,67,16
Western Bulldogs,85,3,84,3,85,3,78,6,70,13,80,5,80,3
