Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Sydney,88,1,88,1,86,3,88,1,87,2,86,1,87,1
Fremantle,82,4,80,5,78,8,85,2,77,7,76,6,80,2
Hawthorn,87,2,83,3,74,10,75,10,78,5,83,3,80,2
Brisbane,86,3,87,2,87,1,72,11,58,18,85,2,79,4
St Kilda,77,6,77,8,87,1,79,5,73,11,72,12,78,5
Geelong,74,9,79,7,86,3,77,7,78,5,75,10,78,5
Adelaide,72,12,68,14,74,10,80,4,89,1,76,6,76,7
Melbourne,78,5,74,10,86,3,68,14,70,14,77,4,76,7
GWS Giants,77,6,76,9,64,15,83,3,77,7,77,4,76,7
Collingwood,62,17,81,4,80,7,76,8,82,3,72,12,76,7
North Melbourne,75,8,80,5,78,8,68,14,67,15,76,6,74,11
Port Adelaide,74,9,73,12,69,12,79,5,77,7,74,11,74,11
Gold Coast,66,15,74,10,66,14,76,8,75,10,76,6,72,13
Carlton,71,14,67,15,67,13,72,11,82,3,71,14,72,13
Essendon,72,12,70,13,82,6,63,17,67,15,69,15,70,15
Western Bulldogs,73,11,66,16,64,15,72,11,71,12,68,16,69,16
Richmond,65,16,62,17,63,17,65,16,71,12,67,17,66,17
West Coast,61,18,58,18,56,18,62,18,63,17,61,18,60,18
