Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Sydney,83,3,88,1,88,1,85,1,83,4,83,3,85,1
Hawthorn,83,3,83,2,77,9,77,7,82,5,84,2,81,2
Fremantle,85,2,82,4,75,11,85,1,78,7,78,5,80,3
Brisbane,89,1,81,6,86,3,73,12,62,17,85,1,79,4
Geelong,74,11,74,12,76,10,78,6,85,2,75,9,77,5
Gold Coast,67,14,83,2,75,11,81,5,76,8,79,4,77,5
North Melbourne,83,3,82,4,87,2,66,15,64,16,78,5,77,5
Western Bulldogs,79,6,76,8,78,7,76,8,76,8,74,12,76,8
Collingwood,63,17,75,10,79,5,84,4,84,3,70,13,76,8
St Kilda,76,10,77,7,78,7,76,8,73,10,75,9,76,8
Adelaide,70,12,66,15,73,13,85,1,86,1,70,13,75,11
GWS Giants,77,8,75,10,64,16,76,8,79,6,77,7,75,11
Melbourne,77,8,73,13,82,4,68,14,70,13,76,8,74,13
Carlton,78,7,69,14,67,14,76,8,72,11,75,9,73,14
Port Adelaide,68,13,76,8,67,14,73,12,72,11,70,13,71,15
Essendon,64,15,66,15,79,5,59,18,61,18,66,16,66,16
Richmond,62,18,60,17,59,17,64,16,69,14,64,17,63,17
West Coast,64,15,58,18,56,18,62,17,69,14,62,18,62,18
