Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Adelaide,74,10,67,13,75,8,85,2,87,2,71,12,76,7
Brisbane,89,1,76,8,74,10,72,13,65,16,81,4,76,7
Carlton,78,6,62,17,68,14,77,8,70,13,71,12,71,15
Collingwood,61,17,71,11,76,7,81,4,76,7,66,16,72,13
Essendon,60,18,66,15,73,11,58,18,64,18,65,17,64,18
Fremantle,89,1,81,6,69,13,83,3,70,13,78,7,78,5
Geelong,70,13,67,13,63,16,79,6,90,1,73,11,74,10
Gold Coast,73,11,91,1,92,1,81,4,76,7,83,1,83,2
GWS Giants,72,12,76,8,63,16,71,14,72,11,75,10,72,13
Hawthorn,81,4,81,6,75,8,76,9,80,3,83,1,79,4
Melbourne,75,8,73,10,79,6,67,16,79,4,79,6,75,9
North Melbourne,79,5,82,4,85,3,73,11,70,13,76,8,78,5
Port Adelaide,68,15,82,4,80,5,74,10,65,16,71,12,73,11
Richmond,66,16,62,17,57,18,70,15,74,9,64,18,66,17
St Kilda,75,8,70,12,66,15,73,11,77,6,76,8,73,11
Sydney,78,6,88,2,88,2,86,1,79,4,82,3,84,1
West Coast,69,14,63,16,71,12,62,17,74,9,67,15,68,16
Western Bulldogs,85,3,84,3,85,3,78,7,71,12,80,5,80,3
