Season,Round,Team,Player,PlayerUrl,Position,SelectionType,ScrapedAt
2026,6,Carlton,L Cowan,pp-carlton-blues--lachlan-cowan,Interchange,interchange,2026-04-17 09:01
2026,6,Carlton,J Smith,pp-carlton-blues--jagga-smith,Interchange,interchange,2026-04-17 09:01
2026,6,Carlton,M McGovern,pp-carlton-blues--mitch-mcgovern,Interchange,interchange,2026-04-17 09:01
2026,6,Carlton,T Byrne,pp-carlton-blues--talor-byrne,Interchange,interchange,2026-04-17 09:01
2026,6,Carlton,L Young,pp-carlton-blues--lewis-young,Interchange,interchange,2026-04-17 09:01
2026,6,Carlton,L Reidy,pp-carlton-blues--liam-reidy,,emergency,2026-04-17 09:01
2026,6,Carlton,F Young,pp-carlton-blues--flynn-young,,emergency,2026-04-17 09:01
2026,6,Carlton,J Boyd,pp-carlton-blues--jordan-boyd,,emergency,2026-04-17 09:01
2026,6,Carlton,H Dean,pp-carlton-blues--harry-dean,Key Defender,selected,2026-04-17 09:01
2026,6,Carlton,J Weitering,pp-carlton-blues--jacob-weitering,Key Defender,selected,2026-04-17 09:01
2026,6,Carlton,N Haynes,pp-carlton-blues--nick-haynes,Key Defender,selected,2026-04-17 09:01
2026,6,Collingwood,D McStay,pp-collingwood-magpies--daniel-mcstay,Key Forward,selected,2026-04-17 09:01
2026,6,Collingwood,J Elliott,pp-collingwood-magpies--jamie-elliott-1,Key Forward,selected,2026-04-17 09:01
2026,6,Collingwood,O Steene,pp-collingwood-magpies--oscar-steene,Key Forward,selected,2026-04-17 09:01
2026,6,Carlton,O Florent,pp-carlton-blues--oliver-florent,Gen. Defender,selected,2026-04-17 09:01
2026,6,Carlton,B Kemp,pp-carlton-blues--brodie-kemp,Gen. Defender,selected,2026-04-17 09:01
2026,6,Carlton,N Newman,pp-carlton-blues--nic-newman,Gen. Defender,selected,2026-04-17 09:01
2026,6,Collingwood,B McCreery,pp-collingwood-magpies--beau-mccreery,Gen. Forward,selected,2026-04-17 09:01
2026,6,Collingwood,N Daicos,pp-collingwood-magpies--nick-daicos,Gen. Forward,selected,2026-04-17 09:01
2026,6,Collingwood,L Schultz,pp-collingwood-magpies--lachlan-schultz,Gen. Forward,selected,2026-04-17 09:01
2026,6,Carlton,O Hollands,pp-carlton-blues--oliver-hollands,Midfielder,selected,2026-04-17 09:01
2026,6,Carlton,P Cripps,pp-carlton-blues--patrick-cripps,Midfielder,selected,2026-04-17 09:01
2026,6,Carlton,M Carroll,pp-carlton-blues--matt-carroll,Midfielder,selected,2026-04-17 09:01
2026,6,Collingwood,P Lipinski,pp-collingwood-magpies--patrick-lipinski,Midfielder,selected,2026-04-17 09:01
2026,6,Collingwood,S Pendlebury,pp-collingwood-magpies--scott-pendlebury,Midfielder,selected,2026-04-17 09:01
2026,6,Collingwood,E Allan,pp-collingwood-magpies--edward-allan,Midfielder,selected,2026-04-17 09:01
2026,6,Carlton,A Cerra,pp-carlton-blues--adam-cerra,Gen. Forward,selected,2026-04-17 09:01
2026,6,Carlton,E Hollands,pp-carlton-blues--elijah-hollands,Gen. Forward,selected,2026-04-17 09:01
2026,6,Carlton,B Ainsworth,pp-carlton-blues--ben-ainsworth,Gen. Forward,selected,2026-04-17 09:01
2026,6,Collingwood,I Quaynor,pp-collingwood-magpies--isaac-quaynor,Gen. Defender,selected,2026-04-17 09:01
