Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Gold Coast,77,8,93,1,92,1,84,1,80,4,85,1,85,1
Western Bulldogs,82,3,81,5,88,3,79,7,80,4,80,3,82,2
Sydney,71,12,82,4,80,4,84,1,85,2,79,4,80,3
Hawthorn,80,5,83,3,76,10,76,8,79,6,83,2,80,3
North Melbourne,80,5,78,6,89,2,73,11,75,8,77,6,79,5
Adelaide,77,8,74,9,77,7,84,1,74,10,74,10,77,6
Fremantle,85,1,76,7,77,7,81,6,64,16,77,6,77,6
West Coast,73,10,68,13,79,6,69,14,88,1,72,13,75,8
Collingwood,63,17,75,8,70,12,83,4,84,3,67,16,74,9
Port Adelaide,71,12,84,2,77,7,70,13,68,14,72,13,74,9
St Kilda,79,7,73,11,64,15,75,9,72,12,79,4,74,9
GWS Giants,72,11,74,9,67,14,71,12,75,8,74,10,72,12
Brisbane,84,2,66,16,61,17,67,16,73,11,77,6,71,13
Melbourne,67,15,72,12,72,11,67,16,68,14,75,9,70,14
Geelong,66,16,67,15,68,13,75,9,79,6,68,15,70,14
Carlton,82,3,60,18,62,16,82,5,64,16,73,12,70,14
Richmond,70,14,68,13,61,17,69,14,72,12,67,16,68,17
Essendon,62,18,63,17,80,4,56,18,62,18,63,18,64,18
