Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Adelaide,71,11,66,15,75,10,85,1,86,2,69,14,75,8
Brisbane,89,1,77,7,78,7,74,11,69,13,84,1,78,6
Carlton,79,6,68,13,70,12,78,6,68,15,74,11,73,10
Collingwood,61,17,69,12,77,8,82,4,81,4,66,15,73,10
Essendon,61,17,64,16,72,11,57,18,64,18,65,16,64,18
Fremantle,88,2,80,5,68,14,83,3,74,8,79,6,79,5
Geelong,68,15,67,14,63,17,78,6,85,3,72,12,72,14
Gold Coast,69,12,89,2,89,2,81,5,74,8,80,4,80,3
GWS Giants,76,8,74,10,64,16,71,12,78,5,77,8,73,10
Hawthorn,76,8,77,7,79,5,77,8,87,1,81,3,80,3
Melbourne,78,7,75,9,79,5,69,15,70,12,78,7,75,8
North Melbourne,82,4,81,4,85,3,68,16,69,13,77,8,77,7
Port Adelaide,69,12,79,6,76,9,76,9,68,15,71,13,73,10
Richmond,67,16,64,16,56,18,70,14,68,15,64,18,65,17
St Kilda,72,10,71,11,68,14,71,12,77,6,76,10,72,14
Sydney,80,5,91,1,90,1,85,1,74,8,82,2,84,1
West Coast,69,12,61,18,69,13,62,17,73,11,65,16,66,16
Western Bulldogs,85,3,84,3,85,3,76,9,75,7,80,4,81,2
