Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Sydney,84,4,86,1,87,1,87,2,83,4,82,2,85,1
Hawthorn,85,3,84,3,77,8,74,9,80,6,84,1,81,2
Fremantle,86,2,83,5,69,14,89,1,70,12,77,6,79,3
Geelong,76,8,80,7,72,12,79,4,87,2,80,4,79,3
Adelaide,73,9,67,14,81,6,82,3,90,1,73,12,78,5
Gold Coast,69,14,86,1,87,1,76,8,66,15,80,4,77,6
Brisbane,87,1,76,9,77,8,72,13,59,18,82,2,76,7
North Melbourne,77,7,84,3,84,3,71,14,64,17,74,9,76,7
Port Adelaide,71,11,81,6,80,7,74,9,72,11,74,9,75,9
Western Bulldogs,81,5,79,8,73,11,73,11,69,13,74,9,75,9
Melbourne,71,11,71,13,83,4,67,15,75,8,76,7,74,11
Carlton,78,6,62,16,70,13,78,6,83,4,72,13,74,11
Collingwood,62,17,73,11,69,14,79,4,84,3,70,15,73,13
St Kilda,73,9,67,14,77,8,73,11,74,9,72,13,73,13
GWS Giants,69,14,74,10,59,17,77,7,76,7,76,7,72,15
Essendon,70,13,73,11,82,5,64,16,66,15,69,16,71,16
West Coast,66,16,61,17,64,16,64,16,68,14,64,17,64,17
Richmond,62,17,57,18,56,18,61,18,74,9,62,18,62,18
