Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Sydney,82,4,88,1,87,1,88,1,89,1,84,1,86,1
Hawthorn,86,3,85,2,75,10,75,10,79,5,84,1,81,2
Fremantle,87,2,82,4,74,11,85,2,72,11,77,5,80,3
Brisbane,88,1,81,6,83,4,71,13,59,18,83,3,78,4
Gold Coast,69,14,85,2,80,6,79,5,77,6,81,4,78,4
Adelaide,72,12,67,14,76,9,83,3,88,2,73,11,76,6
Collingwood,62,18,78,8,80,6,81,4,83,4,70,15,76,6
St Kilda,78,5,76,9,80,6,77,8,71,13,75,9,76,6
Geelong,74,9,73,12,73,13,79,5,84,3,74,10,76,6
North Melbourne,78,5,82,4,85,3,69,14,66,16,76,7,76,6
Melbourne,74,9,74,11,86,2,67,15,72,11,77,5,75,11
GWS Giants,75,8,76,9,62,15,78,7,77,6,76,7,74,12
Western Bulldogs,77,7,71,13,74,11,74,11,75,9,72,13,74,12
Port Adelaide,70,13,79,7,71,14,74,11,73,10,73,11,73,14
Carlton,74,9,62,16,62,15,76,9,76,8,71,14,70,15
Essendon,66,15,67,14,81,5,59,18,63,17,66,16,67,16
Richmond,63,17,60,17,58,18,65,16,69,14,64,17,63,17
West Coast,65,16,60,17,59,17,63,17,67,15,64,17,63,17
