Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Adelaide,73,10,67,14,83,4,88,1,86,2,69,14,78,5
Brisbane,89,1,81,4,74,8,80,5,67,15,85,1,79,4
Carlton,81,4,68,13,72,10,76,10,83,4,76,10,76,10
Collingwood,62,16,69,12,67,15,81,3,83,4,70,13,72,13
Essendon,61,18,63,16,64,17,58,18,65,16,65,16,63,18
Fremantle,87,3,78,7,70,11,81,3,70,11,78,8,77,8
Geelong,74,9,78,7,70,11,79,8,90,1,79,5,78,5
Gold Coast,73,10,88,2,87,2,80,5,70,11,80,4,80,3
GWS Giants,73,10,79,5,74,8,68,15,73,9,77,9,74,11
Hawthorn,79,6,79,5,83,4,84,2,81,6,82,3,81,2
Melbourne,80,5,77,9,80,6,73,11,75,7,79,5,77,8
North Melbourne,75,8,76,10,84,3,63,16,70,11,73,12,74,11
Port Adelaide,65,14,62,17,70,11,73,11,84,3,65,16,70,15
Richmond,65,14,65,15,57,18,72,13,63,17,66,15,65,16
St Kilda,73,10,76,10,68,14,71,14,71,10,74,11,72,13
Sydney,79,6,86,3,80,6,78,9,63,17,79,5,78,5
West Coast,62,16,60,18,67,15,60,17,70,11,63,18,64,17
Western Bulldogs,89,1,90,1,91,1,80,5,75,7,83,2,85,1
