Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Sydney,73,11,81,5,88,1,81,4,67,13,81,2,78,4
Melbourne,68,15,67,14,72,12,84,1,79,7,75,11,74,12
Brisbane,83,3,86,2,74,9,74,10,64,15,79,4,77,6
Carlton,82,4,75,9,87,2,75,9,81,5,77,8,80,1
Gold Coast,74,9,72,11,73,11,84,1,81,5,77,8,77,6
Richmond,62,17,61,18,57,18,71,14,62,18,64,17,63,17
GWS Giants,73,11,74,10,87,2,81,4,86,1,82,1,80,1
Collingwood,73,11,66,15,75,8,79,7,86,1,71,15,75,11
Essendon,73,11,79,7,70,14,69,15,77,8,78,5,74,12
Hawthorn,81,5,87,1,78,6,73,11,70,12,78,5,78,4
North Melbourne,68,15,62,17,78,6,62,17,65,14,63,18,66,16
St Kilda,76,6,78,8,66,15,77,8,77,8,72,14,74,12
Geelong,76,6,72,11,86,4,82,3,86,1,80,3,80,1
Adelaide,74,9,70,13,81,5,81,4,76,10,73,12,76,9
Western Bulldogs,84,2,84,4,72,12,72,12,74,11,78,5,77,6
Port Adelaide,76,6,80,6,63,16,72,12,82,4,73,12,74,12
West Coast,60,18,63,16,62,17,60,18,64,15,65,16,62,18
Fremantle,86,1,85,3,74,9,67,16,64,15,77,8,76,9
