Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Geelong,75,11,86,2,88,3,75,8,90,1,80,2,82,1
Hawthorn,76,9,77,7,82,5,84,3,87,3,79,5,81,2
Adelaide,81,4,74,12,89,2,87,1,82,4,75,8,81,2
Western Bulldogs,85,1,90,1,92,1,67,16,71,9,82,1,81,2
Gold Coast,84,2,83,3,79,6,81,4,75,7,78,6,80,5
GWS Giants,73,13,79,5,86,4,85,2,70,11,80,2,79,6
Brisbane,83,3,81,4,73,10,80,6,73,8,80,2,78,7
Collingwood,66,15,77,7,73,10,81,4,89,2,75,8,77,8
Carlton,81,4,70,13,67,12,77,7,82,4,74,11,75,9
Fremantle,79,8,76,9,76,8,75,8,70,11,75,8,75,9
Melbourne,80,7,78,6,66,14,68,13,69,14,76,7,73,11
St Kilda,75,11,76,9,74,9,67,16,68,15,73,12,72,12
Sydney,81,4,75,11,67,12,73,10,66,16,73,12,72,12
North Melbourne,76,9,68,14,78,7,61,18,66,16,72,14,70,14
Port Adelaide,66,15,62,17,64,15,73,10,79,6,69,15,69,15
Essendon,71,14,67,15,64,15,68,13,71,9,69,15,68,16
Richmond,61,17,64,16,61,17,70,12,60,18,67,17,64,17
West Coast,56,18,58,18,59,18,68,13,70,11,63,18,62,18
