Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Adelaide,73,12,67,14,84,3,87,1,86,2,69,14,78,6
Brisbane,89,1,80,5,73,9,78,8,69,12,86,1,79,3
Carlton,81,4,68,13,73,9,75,10,82,5,76,10,76,10
Collingwood,63,16,71,12,63,17,84,3,85,4,71,13,73,13
Essendon,64,14,66,15,73,9,62,16,63,18,67,15,66,16
Fremantle,86,3,75,10,68,15,85,2,74,9,77,9,78,6
Geelong,75,9,79,6,72,12,79,7,89,1,79,4,79,3
Gold Coast,72,13,87,2,85,2,80,6,67,16,79,4,78,6
GWS Giants,75,9,81,4,79,8,68,14,70,11,78,7,75,11
Hawthorn,80,5,78,7,81,6,84,3,86,2,82,2,82,1
Melbourne,77,7,77,8,83,4,69,13,76,7,79,4,77,9
North Melbourne,76,8,77,8,83,4,62,16,65,17,74,11,73,13
Port Adelaide,64,14,65,16,68,15,70,12,77,6,66,16,68,15
Richmond,63,16,61,17,55,18,68,14,68,13,65,17,63,18
St Kilda,74,11,75,10,71,13,74,11,75,8,74,11,74,12
Sydney,79,6,86,3,80,7,81,5,68,13,78,7,79,3
West Coast,61,18,59,18,69,14,60,18,71,10,62,18,64,17
Western Bulldogs,87,2,91,1,88,1,78,8,68,13,82,2,82,1
