Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Sydney,80,4,88,1,88,2,87,1,84,3,82,3,85,1
Hawthorn,84,3,82,4,78,8,75,8,80,5,84,1,80,2
Gold Coast,71,12,88,1,91,1,79,5,72,10,82,3,80,2
Adelaide,75,8,68,14,81,4,86,3,89,1,73,11,79,4
Fremantle,88,1,78,8,67,16,87,1,70,11,78,5,78,5
Western Bulldogs,80,4,83,3,80,6,74,10,68,14,77,7,77,6
Brisbane,88,1,77,9,74,10,71,13,64,16,83,2,76,7
Geelong,74,10,71,11,65,17,77,6,87,2,75,9,75,8
North Melbourne,77,7,82,4,83,3,70,14,64,16,73,11,75,8
GWS Giants,74,10,80,7,70,11,73,12,68,14,78,5,74,10
Collingwood,61,18,71,11,69,13,84,4,84,3,67,15,73,11
Carlton,79,6,60,18,68,14,77,6,80,5,72,13,73,11
Melbourne,70,13,73,10,80,6,66,15,74,9,77,7,73,11
Port Adelaide,67,14,81,6,75,9,74,10,69,12,71,14,73,11
St Kilda,75,8,67,15,68,14,75,8,80,5,75,9,73,11
Essendon,65,16,70,13,81,4,61,17,61,18,67,15,68,16
West Coast,66,15,62,16,70,11,61,17,69,12,64,17,65,17
Richmond,65,16,61,17,56,18,65,16,75,8,64,17,64,18
