Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Western Bulldogs,86,1,90,1,92,1,72,11,70,11,82,1,82,1
Hawthorn,79,8,70,14,83,5,88,1,90,1,81,3,82,1
Geelong,74,12,90,1,87,3,72,11,84,3,80,5,81,3
GWS Giants,80,4,79,5,88,2,78,7,73,9,81,3,80,4
Brisbane,85,2,77,8,73,10,83,3,80,5,82,1,80,4
Adelaide,77,10,71,10,87,3,86,2,81,4,74,9,79,6
Gold Coast,80,4,84,3,75,8,82,4,70,11,76,7,78,7
Fremantle,76,11,72,9,75,8,79,5,78,7,76,7,76,8
Melbourne,80,4,79,5,76,7,72,11,66,16,77,6,75,9
Collingwood,66,15,71,10,66,15,79,5,90,1,74,9,74,10
Carlton,80,4,71,10,68,13,73,9,76,8,73,13,74,10
Sydney,81,3,81,4,71,11,69,14,63,17,74,9,73,12
St Kilda,78,9,79,5,69,12,66,17,70,11,74,9,73,12
Port Adelaide,67,14,61,17,67,14,74,8,80,5,68,17,70,14
North Melbourne,68,13,71,10,79,6,61,18,68,14,69,14,69,15
Richmond,64,16,67,15,62,16,73,9,59,18,69,14,66,16
Essendon,64,16,66,16,59,18,67,16,73,9,69,14,66,16
West Coast,59,18,61,17,61,17,68,15,68,14,62,18,63,18
