Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Adelaide,75,9,68,13,80,5,88,1,91,1,73,11,79,4
Brisbane,89,1,78,7,78,7,74,11,68,15,84,1,78,6
Carlton,79,6,61,18,68,13,80,5,82,4,72,12,74,10
Collingwood,61,17,70,12,76,9,81,4,79,5,66,15,72,13
Essendon,61,17,64,16,72,11,58,18,63,18,65,16,64,18
Fremantle,88,2,80,5,68,13,82,3,73,9,79,6,78,6
Geelong,67,15,68,13,63,17,77,7,84,3,72,12,72,13
Gold Coast,69,12,89,2,89,2,80,5,73,9,80,4,80,3
GWS Giants,75,9,75,10,64,16,71,12,77,6,77,8,73,11
Hawthorn,76,8,77,8,79,6,76,8,85,2,81,3,79,4
Melbourne,78,7,76,9,78,7,69,15,69,13,78,7,75,9
North Melbourne,82,4,81,4,84,4,69,15,69,13,77,8,77,8
Port Adelaide,69,12,79,6,76,9,76,8,67,16,70,14,73,11
Richmond,66,16,65,15,56,18,70,14,67,16,64,18,65,17
St Kilda,72,11,72,11,68,13,71,12,76,7,76,10,72,13
Sydney,80,5,91,1,90,1,84,2,73,9,82,2,83,1
West Coast,68,14,62,17,69,12,62,17,72,12,65,16,66,16
Western Bulldogs,85,3,84,3,85,3,76,8,74,8,80,4,81,2
