Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Sydney,71,12,83,3,80,4,83,2,84,3,79,4,80,3
Carlton,82,3,61,18,64,15,81,5,64,16,73,11,71,15
Gold Coast,77,8,93,1,91,1,84,1,79,5,85,1,85,1
Geelong,73,9,67,15,60,18,81,5,87,1,73,11,74,9
GWS Giants,71,12,74,9,68,13,71,12,74,9,74,10,72,13
Hawthorn,80,5,83,3,77,8,75,9,78,7,83,2,79,4
Western Bulldogs,82,3,81,5,88,2,79,8,79,5,80,3,82,2
Brisbane,84,2,67,15,63,16,67,16,72,11,76,8,72,13
St Kilda,79,7,74,9,65,14,74,10,71,12,79,4,74,9
Collingwood,63,17,75,8,71,12,82,4,82,4,67,16,73,12
Richmond,69,15,69,13,62,17,69,14,71,12,67,16,68,17
Essendon,62,18,63,17,80,4,56,18,62,18,63,18,64,18
Fremantle,85,1,76,7,78,7,81,5,64,16,77,7,77,6
Adelaide,73,9,70,12,75,10,83,2,78,7,69,15,75,7
North Melbourne,80,5,78,6,88,2,73,11,74,9,78,6,78,5
Port Adelaide,71,12,84,2,77,8,70,13,68,14,72,13,74,9
Melbourne,67,16,73,11,73,11,67,16,68,14,75,9,70,16
West Coast,72,11,69,13,79,6,69,14,87,1,72,13,75,7
