Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Western Bulldogs,89,1,88,2,92,1,78,8,76,7,83,2,84,1
Hawthorn,79,5,79,7,83,5,84,2,80,5,81,3,81,2
Gold Coast,76,8,91,1,86,2,81,4,69,13,81,3,81,2
Geelong,77,7,83,3,73,10,79,6,88,2,81,3,80,4
Brisbane,88,2,80,5,71,11,79,6,70,11,84,1,79,5
Adelaide,76,8,69,13,85,3,87,1,85,3,70,13,79,5
Fremantle,81,4,74,10,77,8,83,3,77,6,76,8,78,7
GWS Giants,75,10,80,5,80,6,70,13,71,9,77,7,76,8
Melbourne,78,6,77,9,80,6,74,11,67,16,78,6,76,8
Sydney,75,10,82,4,76,9,75,10,64,17,76,8,75,10
Collingwood,66,15,72,11,64,16,80,5,90,1,75,11,74,11
Carlton,82,3,67,14,70,12,77,9,71,9,75,11,74,11
St Kilda,75,10,78,8,69,13,70,13,69,13,76,8,73,13
North Melbourne,71,13,71,12,84,4,60,17,70,11,70,13,71,14
Port Adelaide,69,14,61,17,68,14,69,15,85,3,66,16,70,15
Richmond,65,16,67,14,59,17,74,11,62,18,67,15,66,16
West Coast,58,18,60,18,66,15,63,16,76,7,62,18,64,17
Essendon,62,17,62,16,58,18,60,17,68,15,66,16,63,18
