Team,Total,Total_Rank,18 to 22,18 to 22_%,18 to 22_Rank,22 to 26,22 to 26_%,22 to 26_Rank,26 to 30,26 to 30_%,26 to 30_Rank,30+,30+_%,30+_Rank
Adelaide,246.974,1,17.186,0.06958627223918308,14,106.42699999999999,0.4309239029209552,2,84.651,0.34275267841959073,6,38.71,0.15673714642027098,11
Fremantle,243.16,2,9.308,0.03827932225695015,16,127.45800000000001,0.524173383780227,1,69.054,0.2839858529363382,12,37.34,0.15356144102648464,13
GWS Giants,241.09900000000002,3,33.925,0.14070983289022349,7,96.179,0.39891911621367154,3,65.52300000000001,0.2717680289009909,13,45.471999999999994,0.188603021995114,9
Brisbane,238.276,4,41.586999999999996,0.17453289462639962,6,33.65,0.14122278366264332,18,100.694,0.42259396666051136,1,62.345,0.2616503550504457,4
Western Bulldogs,236.75900000000001,5,28.480000000000004,0.12029109769850355,9,75.419,0.3185475525745589,8,94.404,0.3987345781997727,2,38.456,0.16242677152716475,12
North Melbourne,224.234,6,60.163000000000004,0.2683045390083573,2,37.582,0.16760170179366196,17,91.433,0.40775707519823046,4,35.056,0.15633668399975023,15
Sydney,222.36999999999998,7,7.708,0.03466294913882269,17,84.109,0.378238971084229,6,93.32900000000001,0.4197013985699511,3,37.224,0.16739668120699736,14
Geelong,221.08299999999997,8,13.958,0.06313465983363716,15,63.291999999999994,0.28628162273897134,12,80.89500000000001,0.365903303284287,7,62.937999999999995,0.28468041414310463,3
St Kilda,221.046,9,43.239000000000004,0.19561086832604982,5,76.356,0.3454303629108873,7,48.598,0.21985469087882162,15,52.853,0.23910407788424132,7
Collingwood,220.25099999999998,10,6.223,0.02825412824459367,18,44.806,0.20343153947087642,16,71.277,0.32361714589264073,11,97.945,0.44469718639188927,1
Melbourne,217.452,11,25.663000000000004,0.11801684969556502,11,60.31999999999999,0.2773945514412376,14,38.135999999999996,0.17537663484355165,18,93.333,0.42921196401964573,2
Carlton,216.42,12,28.334,0.13092135662138435,10,51.842999999999996,0.2395481009148877,15,73.969,0.3417844931152389,10,62.274,0.2877460493484891,5
Gold Coast,211.93400000000003,13,33.214,0.15671860107391922,8,92.007,0.4341304368341087,4,44.627,0.2105702718770938,16,42.086,0.19858069021487817,10
Richmond,211.93000000000004,14,53.759,0.25366394564242906,3,62.25,0.29372906148256495,13,38.604,0.1821544849714528,17,57.317,0.270452507903553,6
Hawthorn,211.32299999999998,15,19.08,0.0902883264008177,13,65.759,0.31117767588005096,11,77.75999999999999,0.36796751891654006,8,48.724,0.2305664788025913,8
West Coast,211.14899999999997,16,65.201,0.3087914221710735,1,69.151,0.3274985910423445,10,60.742999999999995,0.2876783693031935,14,16.054000000000002,0.07603161748338853,17
Essendon,208.48999999999998,17,48.227000000000004,0.23131565063072573,4,70.31700000000001,0.3372679744831887,9,89.946,0.4314163748860857,5,0.0,0.0,18
Port Adelaide,204.49200000000002,18,21.676000000000002,0.10599925669463842,12,88.30199999999999,0.43181151340883744,5,77.21,0.377569782680985,9,17.304000000000002,0.08461944721553899,16
