Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,DisposalRetentionPercentage,KicksIntoF50,KickIntoF50RetentionPercentage,KickPercentage,Inside50s,Rebound50s,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,MetresGained,MetresGainedPerDisposal,AssistedMetresGained,NetMetresGained,KickMetresGained,RetainedMetresGained,KickMetresGainedPerKick,HandballMetresGained,HandballMetresGainedPerHandball,xThreatPerKick,ThreatRating,xRetainPerKick,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,AverageFieldPosition,Defensive50Possessions,DefensiveMidfieldPossessions,AttackingMidfieldPossessions,Forward50Possessions,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,HitoutToFirstPossession,HitoutToClearance,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,ScoreAssists,ScoreboardImpact,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
James Sicily,Hawthorn,30,30.98,Gen. Defender,23,9.135,88.348,77.739,26,1.13,7,9,90.609,13.261,6.261,19.522,79.287,75.082,88.194,72.098,1.478,47.059,67.929,1.696,4.826,3.522,5.543,4.391,4.446,355.696,18.22,203.912,559.608,353.633,188.326,26.755,3.032,0.484,17.065,3.292,60.901,-1.615,5.826,11.609,17.435,33.416,7.435,3.565,0.043,0.696,2.87,5.391,3.174,0.043,1.087,5.217,-27.808,6.609,7.043,3.174,0.609,0,0,0,,0.261,0.261,0.261,66.667,6.652,1.087,0.348,2.913,0.087,1.043,1.174,-0.13,0,0,0,,0,,0,,,1.565,0.13,2.043,19.149,0.522,16.667,6,0.261,0.13,0.609,0.261,0.391,3.391,42.857,3.783,15.818,1.783,14,3.481,-0.695,9,3.746,-0.413,5,3.004,-1.204,2.348,22.314,98.148,0.087,4.565,8.348,6.391,3.609
Tom Barrass,Hawthorn,30,30.23,Key Defender,25,9.076,61.04,39.84,11,0.44,3,0,85.96,5.68,4,9.68,85.124,83.803,87,76.25,0.6,46.667,58.678,0.64,2.28,1.4,6.914,1.76,5.5,126.2,13.037,104.97,231.17,133.341,54.101,23.642,-2.607,-0.658,16.578,5.724,61.683,0.188,4.36,5.48,9.84,44.309,6.16,2.52,0.04,0.68,1.84,4.28,2.44,0,0.76,2.28,-41.978,5.76,2.64,1.4,0.04,0,0,0,,0.04,0.04,0.04,0,3.76,1.16,0,2.48,0.04,0.6,0.52,0.08,0.04,0.039,0,0,0,,0,,,1.12,0,1.8,24.444,0,,0,0,0,0,0.12,0.12,0.72,,1.52,6.365,1,0,,,0,,,0,,,0.04,0.377,100,0,6.6,4.72,3.96,6.04
Blake Hardwick,Hawthorn,28,28.9,Gen. Defender,26,9.519,74.962,64.115,23,0.885,5,1,89.308,10,4.731,14.731,78.329,73.846,87.805,71.728,0.846,68.182,67.885,1,3.231,1.808,8.149,3.038,4.848,280.769,19.06,141.482,422.252,275.327,133.138,27.639,4.552,0.962,17.793,4.975,58.778,-0.296,4.923,8.615,13.538,36.364,4.731,3.269,0.615,0.654,2.615,4.538,3.038,0.077,0.962,3.731,-19.793,4.615,4.923,2.385,1.615,0,0,0.038,,0.269,0.308,0.192,80,4.538,0.692,0.615,1.346,0.462,0.769,0.654,0.115,0,0,0,,0,,0,,,2.346,0.423,0.577,13.333,0.385,50,11,0.423,0.308,0.846,0.115,0.115,3.538,50,3.231,13.483,0.885,22,3.17,0.194,16,3.431,0.194,6,2.475,0.192,1,9.353,96.154,0.269,2.692,10.423,7.077,2.269
Mabior Chol,Hawthorn,28,28.92,Key Forward,24,9.233,68.292,61.333,17,0.708,4,1,82.833,7.125,2.875,10,62.5,57.31,75.362,66.245,1.333,50,71.25,1.542,0,2.417,4.138,2.125,4.706,185.125,18.512,81.282,266.407,197.898,104.524,28.271,2.946,1.04,28.955,5.985,50.495,8.542,5.208,4.458,9.667,53.879,0.542,2.375,1.042,0.583,1.792,3.833,1.875,0.083,0.875,1.333,27.481,0.042,2.625,3.042,3.958,4.083,14.649,0.625,15.306,0.5,1.125,1.333,75,3.917,1.292,1.958,0.125,0.958,0.708,1,-0.292,8.167,8.049,2.833,34.694,0.833,29.412,0.5,44.118,41.176,2.667,0.792,0,,2,25,42,1.75,0.75,2.833,0.542,0.833,14.792,61.765,4.792,19.793,0.917,68,3.644,0.326,49,3.718,0.445,19,3.454,0.02,0,0,,0.167,1.708,11.292,2.042,1.208
Jack Scrimshaw,Hawthorn,27,27.32,Gen. Defender,16,8.55,67.438,56.875,0,0,0,0,71.25,7.875,5.812,13.688,82.192,78.571,87.097,82.192,0.562,44.444,57.534,0.625,2.688,1.938,7.065,1.562,8.76,201.688,14.735,180.227,381.914,188.298,118.103,23.911,6.141,1.056,17.705,0.477,61.368,9.706,4.625,8.25,12.875,35.922,5.75,3,0,0.625,2.375,4.312,2.688,0,0.75,4,-35.399,5.812,5.062,1.812,0.188,0,0,0,,0.125,0.125,0.312,80,4.5,0.875,0.062,2.25,0,0.5,0.625,-0.125,0,0,0,,0,,0,,,2.375,0.062,1.25,45,0,,0,0,0,0.062,0,0.188,0.188,0,2.312,9.61,1,1,2.168,-2.168,0,,,1,2.168,-2.168,1.062,10.18,88.235,0.812,2.75,7.688,5.875,1.75
Josh Battle,Hawthorn,27,27.33,Key Defender,26,8.762,80.615,69.615,34,1.308,6,5,92.5,11.385,7.077,18.462,79.375,78.716,80.435,73.125,1.269,51.515,61.667,1.385,3.462,2.5,7.385,3.192,5.783,312.154,16.908,195,507.154,274.486,156.402,24.11,17.068,2.412,17.151,4.871,63.922,-1.828,4.846,11.231,16.077,30.144,6.462,3.346,0,1.038,2.308,4.615,3.154,0,0.731,5.462,-35.321,7.308,5.846,2.885,0.038,0,0,0,,0.192,0.192,0.115,100,5.231,0.538,0,1.346,0.115,0.692,1,-0.308,0.654,0.638,0.308,47.059,0,0,0,37.5,37.5,1.885,0.077,2.269,18.644,0.231,50,0,0,0.077,0.115,0.115,0.269,0.923,0,2.962,12.36,1.154,3,2.36,-1.694,2,2.451,-1.951,1,2.179,-1.179,1.923,17.986,100,0.654,3.923,7.385,5.423,2.808
Ben Paton,Sydney,27,27.2,Gen. Defender,4,3.2,38,31.5,0,0,0,0,54,4.5,3.75,8.25,90.909,88.889,93.333,78.788,1.25,20,54.545,1.25,0.75,1.25,6.6,1,8.25,98.25,11.909,111.878,210.128,84.918,36.807,18.871,3.823,1.019,24.514,-12.749,64.882,5.706,1.5,6,7.5,20,2,1.5,0,0.25,1.25,1.5,1.5,0,0.75,3.5,-23.44,2.25,3.25,2,0,0,0,0,,0,0,0,,2,0,0,0,0,0,0.5,-0.5,0,0,0,,0,,0,,,1.5,0,0.5,50,0,,0,0,0,0,0.25,0.25,1.5,,1.25,5.882,0.75,0,,,0,,,0,,,0,0,,0.25,1.75,6.25,4.75,1.25
Nick Blakey,Sydney,25,25.84,Gen. Defender,23,14.1,101.391,85,35,1.522,8,7,86.217,17.391,4,21.391,77.642,75.75,85.87,73.523,2.609,53.333,81.301,3.13,6.261,1.957,10.933,3.348,6.39,557.652,26.069,235.423,793.075,496.51,358.667,28.693,17.736,4.483,17.879,2.725,60.081,7.776,4,11.435,15.435,25.915,6.304,2.478,0.087,0.348,2.13,3.739,2.304,0.043,1,5.783,-24.854,5.87,4.435,4.652,0.478,0,0,0.13,,0.13,0.261,0.174,75,5.478,0.739,0.13,2.391,0.087,0.783,0.391,0.391,0,0,0,,0,,0,,,1.435,0.043,1.174,18.519,0.043,100,10,0.435,0.435,0.87,0.565,0.739,6.609,50,4.391,19.238,1.957,20,3.361,0.139,7,3.843,0.014,13,3.101,0.206,5,48.523,97.391,1.739,3.609,5.13,3.652,3.391
James Rowbottom,Sydney,25,25.28,Midfielder,23,10.043,81.609,78.522,6,0.261,4,3,76.435,9.478,6.565,16.043,65.854,55.963,80.132,64.13,2.739,41.27,59.079,3.087,1.174,2.826,5.677,3.13,5.125,269.652,16.808,160.176,429.828,269.728,119.685,28.721,-2.389,-0.364,26.623,1.792,50.199,-4.298,8.174,7.826,16,51.087,2.522,5.174,0.957,1.826,3.348,3.391,2.652,1.348,1.043,4.87,2.131,1.609,5.696,6.522,2.174,13.957,51.36,1.217,8.723,2.783,4,3.826,86.364,2.348,0.174,0.261,0.174,0.174,1.522,1.217,0.304,0,0,0,,0,,0,,,7.304,0.696,0,,0.087,50,9,0.391,0.478,0.913,0.348,0.739,5.304,42.857,3.87,16.952,1.261,21,2.978,0.117,6,4.002,-0.502,15,2.568,0.365,0,0,,0.043,0.609,23.478,10.13,0.217
Sam Wicks,Sydney,26,26.29,Gen. Defender,21,5.043,56.238,55.952,6,0.286,2,0,83.952,9.952,4.667,14.619,71.661,63.158,89.796,70.358,1.476,38.71,68.078,1.619,2.143,2.524,5.792,2.762,5.293,263.429,18.02,147.328,410.756,236.61,114.95,23.888,2.507,0.532,19.306,0.168,58.654,-2.338,3.667,10.571,14.238,25.753,3.333,3.095,0.095,0.619,2.476,3.048,2.667,0.048,0.952,7.619,-26.937,5.095,5.952,3,0.19,0,0,0.095,,0.524,0.619,0.381,75,2.429,0,0,0.286,0,0.667,0.667,0,0,0,0,,0,,0,,,2.667,0,0.333,42.857,0,,0,0,0.143,0.19,0.095,0.286,0.905,0,2.238,9.592,0.429,4,2.511,-1.761,0,,,4,2.511,-1.761,0.048,0.459,100,0.619,0.905,9.476,7.476,0.619
