Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,DisposalRetentionPercentage,KicksIntoF50,KickIntoF50RetentionPercentage,KickPercentage,Inside50s,Rebound50s,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,MetresGained,MetresGainedPerDisposal,AssistedMetresGained,NetMetresGained,KickMetresGained,RetainedMetresGained,KickMetresGainedPerKick,HandballMetresGained,HandballMetresGainedPerHandball,xThreatPerKick,ThreatRating,xRetainPerKick,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,AverageFieldPosition,Defensive50Possessions,DefensiveMidfieldPossessions,AttackingMidfieldPossessions,Forward50Possessions,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,HitoutToFirstPossession,HitoutToClearance,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,ScoreAssists,ScoreboardImpact,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Jordan Ridley,Essendon,27,27.19,Gen. Defender,10,7.71,77.4,63.2,2,0.2,1,0,68.4,12.1,4.9,17,84.706,82.645,89.796,78.824,0.5,20,71.176,0.7,3.3,1.2,14.167,1.9,8.947,295,17.353,193.409,488.409,270.527,192.642,22.733,9.54,1.947,16.124,-4.917,69.568,1.121,3.4,10.4,13.8,24.638,5,2,0,0.1,1.9,3.4,2,0,0.4,5.4,-36.149,6.3,5.5,1.9,0.1,0,0,0,,0,0,0,,5.5,1.1,0,2.2,0,0.4,0.8,-0.4,0,0,0,,0,,0,,,0.6,0,1.4,21.429,0,,0,0,0.2,0.2,0,0,0.2,0,2.3,11.33,0.7,2,2.896,-1.896,1,3.415,-2.415,1,2.376,-1.376,3.1,34.831,93.548,0.6,2.5,4.4,3.5,2
Ben McKay,Essendon,28,28.01,Key Defender,10,5.65,46.2,39,0,0,0,0,98.3,5.1,3.7,8.8,86.364,86.275,86.486,88.636,0.1,100,57.955,0.1,0.7,1.8,4.889,0.8,11,53.9,6.125,69.814,123.714,60.641,24.559,11.89,-8.422,-2.276,17.493,6.507,80.628,5.372,3.8,4.7,8.5,44.706,5.4,1.7,0,0.5,1.2,3.8,1.7,0,0.2,1.3,-39.516,4,3.6,0.9,0,0,0,0,,0,0,0,,4.4,1.4,0,2.5,0,0.8,1.1,-0.3,0,0,0,,0,,0,,,1.4,0,3.5,17.143,0,,0,0,0,0,0,0.1,0.1,,1.7,8.134,1.1,0,,,0,,,0,,,0,0,,0,4,4.9,4.1,4
Sam Draper,Essendon,27,27.25,Ruck,5,13.8,91.6,82,6,1.2,1,0,85.8,7.2,6.2,13.4,74.627,61.111,90.323,71.642,2,40,53.731,2.6,1,3.6,3.722,2.2,6.091,255,19.03,153.324,408.324,247.922,133.818,34.434,6.122,0.987,26.875,4.943,44.079,5.921,8.8,6,14.8,59.459,2.6,2.6,0.4,0.4,2.2,4.2,1.2,0,0.2,3.2,6.469,2.4,3.6,5.4,3.4,14.8,50,0.4,2.703,2.8,3.2,4.4,81.818,3.6,1.8,1.4,1.2,0.4,2,1.8,0.2,51,53.571,20.6,40.392,4.4,21.359,1.6,45.631,41.748,2.8,0.8,0.8,25,2.6,15.385,7,1.4,0.4,2.4,0.2,0.8,10.6,58.333,4.8,20,2.4,12,3.564,0.103,8,3.96,1.29,4,2.771,-2.271,0,0,,0,3.2,6.4,3.4,2
Xavier Duursma,Essendon,25,25.48,Midfielder,22,7.886,80.273,78.773,8,0.364,3,0,81.273,9.955,9.5,19.455,74.766,63.47,86.603,71.429,1.955,39.535,51.168,2.273,2.136,2.682,7.254,3.773,5.157,268.136,13.783,217.836,485.972,242.871,118.284,24.51,6.956,0.739,22.167,-5.325,54.791,-0.581,5.955,13.409,19.364,30.751,3.909,4.136,0.364,0.818,3.318,3.864,2.682,0.409,1.091,7.409,-11.969,4.955,6.591,6.227,1.591,0.045,0.169,0.091,100,1.591,1.682,1.5,78.788,5.182,0.364,0.545,1.045,0.045,1.227,0.682,0.545,0,0,0,,0,,0,,,3.045,0.364,0.227,80,0.364,12.5,10,0.455,0.273,0.909,0.318,0.591,5.182,50,3.5,18.333,1.136,20,3.683,-0.383,12,3.86,-0.11,8,3.417,-0.792,0,0,,0.818,1.227,13.364,6.682,0.773
Jye Caldwell,Essendon,25,25.25,Midfielder,11,11.573,100.727,103.636,14,1.273,2,2,73.909,12.455,13.455,25.909,69.825,63.504,75.676,67.368,3.545,38.462,48.07,4.273,1.455,4.545,5.7,4.455,5.816,311,12.004,209.843,520.843,303.996,133.077,24.408,-1.936,-0.144,25.173,-3.744,53.812,-3.018,11.909,14.818,26.727,44.558,2.818,8,0.818,2.727,5.273,3.909,3.364,2.636,1.273,9.727,-4.282,3.273,12,9.455,2,18.818,65.3,1.909,10.145,3.364,5.273,7,71.429,4,0.182,0.455,0.091,0.273,0.727,1.091,-0.364,0,0,0,,0,,0,,,6.727,0.545,0,,0,,5,0.455,0.273,0.818,0.273,0.727,5.091,55.556,5.364,27.442,1.545,9,2.883,0.784,4,3.681,1.069,5,2.244,0.556,0,0,,0,0.909,23.909,12.818,0.273
Jaxon Prior,Essendon,24,24.57,Gen. Defender,23,6.778,69.087,62.478,0,0,0,0,85.565,11.043,4.696,15.739,82.597,81.496,85.185,74.792,1.304,53.333,70.166,1.304,3.87,2.478,6.351,2.043,7.702,277.87,17.655,169.091,446.961,259.296,160.442,24.048,3.817,0.82,17.292,-0.767,59.833,6.269,3.478,10.957,14.435,24.096,4.652,2.435,0.043,0.435,2,3.304,2.304,0.043,0.87,5.696,-34.922,7.087,4.478,2.783,0.087,0,0,0,,0.13,0.13,0.087,100,4.913,0.348,0.043,1.348,0.087,0.652,0.522,0.13,0,0,0,,0,,0,,,1.522,0.043,1.217,35.714,0.087,0,0,0,0.043,0.043,0.087,0.261,0.739,0,2.174,11.494,0.739,1,2.349,-1.349,1,2.349,-1.349,0,,,1.174,10.506,96.296,0.261,2.739,7.609,5.696,2.522
Harrison Jones,Essendon,24,24.84,Mid-Forward,7,4.286,49,50,0,0,0,0,75.286,6.429,3.714,10.143,70.423,64.444,80.769,63.38,1.571,36.364,63.38,1.857,0.857,2,5.071,2.714,3.737,155.571,15.338,74.883,230.454,171.657,54.889,26.702,-1.531,-0.412,22.723,0.354,57.605,-6.323,4.143,7.143,11.286,36.709,2.286,2.571,0.714,0.429,2.143,3.857,2.571,0,0.714,3,5.582,1.857,2.571,4.571,2.286,0.143,0.5,0,0,0.286,0.286,0.286,100,3.714,0.143,0.571,0.286,0.571,0.714,0.714,0,5,5.216,0.714,14.286,0.286,40,0,40,40,2.714,0.714,0,,0.429,66.667,2,0.286,0.286,0.714,0.143,0.286,3,40,2.714,12.179,0.714,5,2.783,0.017,4,2.758,-0.758,1,2.883,3.117,0,0,,0,1.143,11,4.286,0.429
Nick Bryan,Essendon,24,24.19,Ruck,4,9.825,59.5,57.75,0,0,0,0,55.25,7.5,2.25,9.75,71.795,63.333,100,74.359,1.5,66.667,76.923,1.5,1,0.5,19.5,0.5,19.5,180.25,18.487,45.662,225.912,180.772,112.538,24.103,7.265,3.229,23.854,10.761,51.94,13.444,4,5.25,9.25,43.243,2.5,2.25,0,0.5,1.75,1.5,0.75,0,0,3,-6.941,1.75,3.25,3.75,0.5,16.75,54.472,1,5.97,1,2,2,75,1.75,0,0,0.75,0,0.75,0.5,0.25,38.5,39.286,19,49.351,6.25,32.895,0.75,57.895,48.684,1.75,0.25,0.75,33.333,0,,0,0,0.25,0.25,0,0.25,0.5,0,4.25,17.347,2.5,1,2.673,-1.673,0,,,1,2.673,-1.673,0,0,,0,1.5,6.5,4.5,1.25
Nic Martin,Essendon,24,24.74,Mid-Forward,16,12.112,97.75,97.438,38,2.375,6,6,85.5,14,10.312,24.312,77.378,70.982,86.061,77.261,2.75,43.182,57.584,3.5,3.062,2.312,10.514,3.312,7.34,376.188,15.473,258.465,634.652,307.687,217.077,22.176,31.389,3.044,23.909,0.828,60.822,4.967,5.438,17.938,23.375,23.262,3.375,3.875,0.625,0.625,3.25,4.062,2.875,0.25,1.188,9.75,-10.899,5.938,7.562,7.375,2.5,3.188,11.751,0.312,9.804,1,1.312,1,81.25,6.938,0.312,0.375,0.625,0.5,0.688,0.562,0.125,0,0,0,,0,,0,,,2.625,0.188,0,,0.062,100,11,0.688,0.375,1.25,0.562,0.938,8.25,55,5.188,26.688,0.625,20,3.231,0.369,6,3.241,0.259,14,3.227,0.416,0.5,4.706,87.5,1.375,1.812,11.812,5.938,1.25
Zach Reid,Essendon,23,23.83,Key Defender,10,8.21,79.8,75.4,8,0.8,2,0,91,11,4.4,15.4,81.169,75.455,95.455,80.519,0.1,0,71.429,0.1,2.9,2,7.7,2.2,7,236.3,15.344,197.481,433.781,223.058,138.567,20.278,6.15,1.398,15.279,-2.316,68.663,7.263,4.3,10.1,14.4,29.861,5.4,2.6,0,0.8,1.8,4,2.5,0.2,0.5,2.9,-45.782,8.5,5,0.9,0,0.4,1.476,0,0,0.2,0.2,0.2,100,7.7,0.9,0,2.1,0,0.6,0.1,0.5,1.3,1.396,0.2,15.385,0.1,50,0,50,50,2.5,0,2.3,13.043,0,,0,0,0,0,0,0,0,,2.4,11.483,0.8,0,,,0,,,0,,,1,9.091,70,0,5.1,8.5,7.1,4.6
Sam Durham,Essendon,24,24.47,Midfielder,20,13.46,90.35,78.4,31,1.55,6,4,80.1,10.05,11.8,21.85,71.167,57.214,83.051,70.183,3.6,41.667,45.995,3.95,1.15,4.3,5.081,3.75,5.827,327.5,14.989,223.288,550.788,290.353,155.101,29.181,12.433,1.058,26.432,-0.269,49.821,0.761,11.8,10.8,22.6,52.212,2.45,7.95,1.2,2.4,5.55,4.65,3.7,2.1,1.15,7.5,-0.224,2.4,9.05,8.6,2.55,15.25,57.009,2.05,13.443,3.3,5.35,6.05,76.86,2.95,0.35,0.35,0.25,0.25,1.3,1.55,-0.25,0,0,0,,0,,0,,,4.1,0.5,0,,0.15,0,8,0.4,0.35,1.05,0.7,1.1,7.35,38.095,5.2,27.013,1.25,21,3.217,-0.598,9,3.391,-0.946,12,3.086,-0.336,0,0,,0.3,1.5,18.9,8.1,0.65
Archie Perkins,Essendon,23,23.76,Gen. Forward,21,7.705,54.238,56.952,4,0.19,1,0,72.619,7.333,6.714,14.048,70.169,62.987,78.014,67.797,1.476,38.71,52.203,1.857,0.667,2.667,5.268,3.048,4.609,206.333,14.688,118.123,324.457,199.182,105.644,27.161,2.219,0.333,25.625,-7.521,55.978,-3.392,5.048,8.714,13.762,36.678,1.381,3.714,0.762,0.857,2.857,3.19,2.333,0.381,0.952,5.333,5.202,1.333,4.571,5.714,2.143,5.143,18.336,0.476,9.259,0.905,1.381,1.476,74.194,2.81,0.476,0.571,0.143,0.381,0.524,0.571,-0.048,0,0,0,,0,,0,,,2.286,0.619,0,,0.381,37.5,17,0.81,0.286,1.333,0.333,0.476,7.286,60.714,3.095,16.624,0.381,28,3.265,0.592,14,3.369,0.703,14,3.161,0.482,0,0,,0.143,0.19,11.571,4.476,0.19
Ben Hobbs,Essendon,22,22.29,Gen. Forward,18,6.144,55.5,58.444,0,0,0,0,69.167,7.167,7.722,14.889,68.284,51.163,84.173,67.91,1.222,27.273,48.134,1.444,0.833,2.889,5.154,3.111,4.786,177.944,11.951,141.922,319.866,178.167,65.098,25.055,2.762,0.358,26.653,-7.605,51.956,-2.433,5.611,8.944,14.556,38.55,1.278,4.5,1.056,0.833,3.667,3.444,2.944,0.278,1.333,5.889,5.575,1.444,5.111,5.222,2.778,2.278,8.668,0.389,17.073,1.333,1.722,1.389,92,2.111,0.056,0.333,0,0.389,1.111,1.056,0.056,0,0,0,,0,,0,,,3.778,0.722,0.056,0,0.222,0,5,0.278,0.444,0.889,0.222,0.444,3.667,31.25,3.278,16.905,0.444,16,3.014,-0.639,8,3.236,-0.486,8,2.792,-0.792,0,0,,0.056,0.278,16.444,5.278,0.167
Archie Roberts,Essendon,20,20.11,Gen. Defender,23,8.057,83.652,85.913,8,0.348,3,0,86.348,13.217,11.261,24.478,75.311,68.092,83.784,68.817,2.043,38.298,53.996,2.261,4.13,3.652,6.702,4.739,5.165,356.913,14.581,210.019,566.932,322.422,155.352,24.637,15.686,1.409,18.972,-4.433,59.508,-3.48,5.652,17.435,23.087,24.482,5.174,4.391,0.13,0.826,3.565,4.435,3.696,0.261,1.217,11.13,-26.694,7.957,9.739,4.739,0.652,0.696,2.564,0.087,12.5,1.13,1.217,0.913,90.476,5.304,0.217,0.174,0.826,0.217,1,0.957,0.043,0,0,0,,0,,0,,,2.261,0.13,0.435,40,0.174,75,2,0.087,0.13,0.261,0.174,0.391,1.913,33.333,3.391,17.931,0.609,6,3.486,-0.986,4,3.842,-0.592,2,2.775,-1.775,1.13,10.117,100,0.565,1.478,9.217,5.826,1.13
Elijah Tsatas,Essendon,21,21.2,Midfielder,5,8.9,51.6,49.8,0,0,0,0,51.8,8,8.8,16.8,66.667,42.5,88.636,65.476,2.6,38.462,47.619,2.8,0.8,1.8,9.333,3.6,4.667,210.6,12.536,147.548,358.148,206.316,75.782,26.451,-9.914,-1.127,27.217,-7.863,47.215,-21.409,7.6,8,15.6,48.718,1.4,5,0.8,1.2,3.8,2,2,1.8,1.2,6.4,-3.866,1.8,7.2,5.2,1.4,12.8,45.714,2.4,18.75,2.6,5,5,84,1,0,0.2,0,0,0.8,0.6,0.2,0,0,0,,0,,0,,,1.2,0,0,,0,,1,0.2,0.2,0.4,0.2,0.4,2.8,50,2.6,12.5,1,2,2.183,1.317,0,,,2,2.183,1.317,0,0,,0.2,0.4,10.8,4.8,0
Nate Caddy,Essendon,20,20.46,Key Forward,17,5.629,52.882,53.529,0,0,0,0,81.118,7.647,3.294,10.941,54.839,45.385,76.786,50.27,2,29.412,69.892,2.294,0.059,2.412,4.537,3.235,3.382,216.471,19.785,41.241,257.711,236.507,68.489,31.658,-5.842,-1.773,28.894,-14.029,46.638,-16.908,5,5.824,10.824,46.196,0.941,2.824,1.118,0.706,2.118,4.824,2.647,0,0.765,2,26.126,0.118,3,3.412,4.294,0,0,0.059,,0.059,0.118,0.059,100,3.941,1.059,1.294,0.059,1.412,1.059,0.412,0.647,0.235,0.254,0.118,50,0,0,0,0,0,1,0.412,0,,2,8.824,20,1.176,1.176,3,0.294,0.353,10.059,39.216,3.941,20.552,0.235,51,3.091,-0.346,32,3.32,0.024,19,2.706,-0.97,0,0,,0.235,0.706,8.353,1.588,0.529
Isaac Kako,Essendon,19,19.81,Gen. Forward,23,8.687,55.174,47.043,0,0,0,0,81.435,5.522,5.652,11.174,73.541,59.055,87.692,75.875,1.609,59.459,49.416,2.174,0.13,1.261,8.862,1.609,6.946,130.435,11.673,112.811,243.246,133.198,71.41,24.314,-6.479,-1.146,31.423,0.72,52.17,6.163,4.826,5.913,10.739,44.939,1.087,3.957,1.565,0.696,3.261,3.565,3.087,0.391,1.348,3.261,22.449,0.174,2.652,4.435,3.478,3.304,12.179,0.348,10.526,0.652,1,1.348,67.742,1.957,0.13,0.478,0.087,0.478,0.348,0.478,-0.13,0,0,0,,0,,0,,,2.522,1.174,0,,0.478,0,15,0.652,0.391,1.304,0.348,0.913,6.957,50,4.261,22.529,0.783,30,3.162,0.138,12,3.388,0.362,18,3.012,-0.012,0,0,,0.565,0.522,16.304,3.913,0.304
Dylan Shiel,Essendon,32,32.81,Midfielder,14,9.829,73.786,74.643,5,0.357,2,3,63,10.071,11.071,21.143,70.946,60.284,80.645,69.595,2.571,41.667,47.635,3.143,2.429,3.643,5.804,4.071,5.193,338.357,16.003,234.239,572.596,274.14,159.004,27.22,23.411,2.128,22.683,-6.29,53.903,-3.903,6.214,14.286,20.5,30.314,2.357,4.5,0.214,0.857,3.643,2.571,2.357,1,0.643,9.214,-14.477,4.214,9.929,5.571,0.786,10.929,39.031,1.643,15.033,1.357,3,3.429,72.917,3.786,0,0.214,0.214,0.143,0.429,0.643,-0.214,0,0,0,,0,,0,,,2.857,0.143,0.143,50,0.071,0,2,0.143,0.143,0.5,0.5,0.714,4.214,28.571,3.786,19.85,1.071,7,3.623,-1.623,2,4.097,-0.597,5,3.433,-2.033,0.286,2.367,100,1.071,0.643,13.857,7.571,0.214
Jade Gresham,Essendon,28,28.35,Gen. Forward,19,7.363,55.158,53.632,0,0,0,0,72.526,6.421,6.684,13.105,69.076,52.459,85.039,73.79,1.632,58.065,48.996,2,0.474,1.684,7.781,2.211,5.929,146.053,11.145,139.129,285.182,146.046,73.893,22.933,-3.838,-0.574,29.805,0.315,57.693,-1.066,4.947,7.789,12.737,38.843,1.263,3.842,0.947,0.737,3.105,2.632,2.316,0.474,1.053,4.789,8.907,0.947,4.421,4.737,2.632,1.579,5.671,0.316,20,1.632,1.947,1.789,73.529,2.526,0,0.684,0.105,0.263,0.684,0.789,-0.105,0,0,0,,0,,0,,,2.895,0.684,0,,0.474,22.222,10,0.526,0.368,1.211,0.368,0.789,6.158,43.478,3.684,18.767,0.842,23,3.241,-0.328,12,3.866,-1.949,11,2.559,1.441,0,0,,0.421,0.632,11.789,4.211,0.316
Kyle Langford,Essendon,29,29.08,Key Forward,9,7.633,52.333,49.889,0,0,0,0,75.222,6.667,4.444,11.111,69,58.333,85,73,1.556,57.143,60,2.222,0.222,2.333,4.762,2.444,4.545,178.444,16.06,115.199,293.643,174.31,92.574,26.146,-4.27,-0.961,30.087,3.956,53.054,2.265,4,7.444,11.444,34.951,1.111,2.333,0.556,0,2.333,3.222,2,0.333,0.667,4,16.345,0.333,4,3.889,3.222,0,0,0.111,,0.333,0.444,0.444,75,3.111,0.556,0.889,0,1,0.556,0.778,-0.222,2,2.211,0,0,0,,0.111,,,2,0.667,0.111,100,1.667,26.667,8,0.889,0.111,1.222,0.556,1,9.222,72.727,3.778,20.238,0.222,11,3.123,1.331,6,3.563,1.604,5,2.596,1.004,0,0,,0.222,1.222,10.667,3.111,0.889
Zach Merrett,Essendon,30,30.24,Midfielder,22,14.595,107.727,102.773,51,2.318,9,14,86.864,15.227,12.545,27.773,69.885,57.015,85.507,70.675,4.682,54.369,54.828,5.273,2,3.364,8.257,4.864,5.71,440.364,15.856,298.982,739.345,395.115,218.684,26.182,9.962,0.803,26.451,0.472,53.4,3.243,9.318,17.864,27.182,34.281,2.636,6.545,1,1.273,5.273,4.091,2.909,0.864,0.909,13.318,-2.435,3.5,10.682,10.273,2.727,17.227,63.272,1.545,8.971,2.318,3.864,4.091,72.222,3.727,0.227,0.318,0.182,0.455,1.5,0.364,1.136,0,0,0,,0,,0,,,4.364,0.5,0.182,25,0.227,40,9,0.409,0.5,1.182,0.864,1.545,8.818,34.615,6.136,32.53,1.364,26,2.706,-0.206,6,3.378,-0.878,20,2.504,-0.004,0.636,5.691,85.714,0.5,1.591,20.045,9.182,0.364
Mason Redman,Essendon,28,28.34,Gen. Defender,19,10.437,95.053,85.789,8,0.421,2,2,85.474,17.053,5.842,22.895,85.057,83.333,90.09,75.346,1.737,51.515,74.483,2.053,5.263,2.263,10.116,3.632,6.304,474.579,20.729,262.569,737.148,440.046,264.469,25.965,2.463,0.422,17.355,-1.394,64.737,3.341,4,14.158,18.158,22.029,5.211,2.737,0,0.579,2.158,3.632,2.421,0,0.947,8.632,-29.888,6.842,7.579,3.684,0.053,0.474,1.789,0,0,0.211,0.211,0.211,50,5.263,0.421,0.053,1.895,0.105,0.895,0.895,0,0,0,0,,0,,0,,,1.842,0,0.947,22.222,0,,4,0.211,0.316,0.632,0.158,0.263,2.632,33.333,3.474,17.984,1.158,12,2.384,0.116,1,1.386,-0.385,11,2.475,0.162,5.263,45.662,87,0.263,1.842,8.526,6.211,1.368
Andrew McGrath,Essendon,27,27.58,Gen. Defender,23,9.8,83.87,74.913,28,1.217,5,6,83.87,9.783,12.957,22.739,79.159,70.222,85.906,75.577,1.739,45,43.021,1.957,3.13,2.478,9.175,3.739,6.081,303.609,13.352,239.471,543.08,253.831,141.543,26.417,12.578,0.974,18.867,-1.248,55.667,-0.429,7.261,14.739,22,33.004,4.957,5.87,0.043,0.957,4.913,4.652,3.87,0.478,1.522,10.391,-29.146,8.391,9.13,4.174,0.304,5.565,20.513,0.304,5.469,1.391,1.696,2,63.043,3.522,0.13,0,0.478,0.087,0.522,0.522,0,0,0,0,,0,,0,,,2.435,0.043,0.957,9.091,0,,1,0.043,0.13,0.174,0.217,0.391,1.87,25,3.261,17.241,0.957,4,3.196,-0.946,0,,,4,3.196,-0.946,0.913,8.171,100,1.348,1.391,13.13,9.13,0.87
Josh Ward,Hawthorn,22,22.37,Midfielder,25,11.48,83,75,8,0.32,3,7,75.08,10.44,10.12,20.56,72.957,61.303,84.98,74.319,3.28,51.22,50.778,3.72,1,2.32,8.862,2.64,7.788,321.72,15.648,249.924,571.644,287.954,180.412,27.688,10.194,1.007,25.969,4.609,53.995,4.683,7.76,13.36,21.12,36.742,2.68,5.68,0.36,1.32,4.36,3.36,2.96,1.16,1.28,9.16,-6.894,2.92,9.04,7.72,1.44,11.96,43.459,0.96,8.027,2.32,3.28,3.28,82.927,3.16,0,0.2,0.16,0.16,0.4,0.52,-0.12,0,0,0,,0,,0,,,3.56,0.32,0.08,100,0.04,0,3,0.12,0.16,0.36,0.52,1.12,4.6,33.333,5.28,22.111,0.8,9,3.11,-0.666,3,3.931,0.069,6,2.7,-1.033,0,0,,0.24,0.8,16.04,7.76,0.08
Andrew Brayshaw,Fremantle,26,26.14,Midfielder,24,15.613,114.542,101.625,64,2.667,12,26,82.167,12.167,14.792,26.958,74.652,63.356,83.944,74.224,3.792,42.857,45.131,4.833,1.792,3.583,7.523,3.458,7.795,400.958,14.873,330.112,731.07,362.133,216.721,30.073,9.629,0.653,26.481,0.938,49.865,6.586,10.958,16.375,27.333,40.091,3.25,6.458,0.5,1.917,4.542,4,2.708,2.125,0.708,12.25,-3.92,3.708,11.333,10.25,2.042,21.125,77.169,2.042,9.665,2.958,5,6.167,74.324,2.917,0.125,0.083,0.333,0.167,1.875,1.333,0.542,0,0,0,,0,,0,,,6.708,0.792,0.083,0,0.042,0,7,0.292,0.333,0.708,0.792,1.375,7.417,41.176,6.708,28.905,1.792,17,3.242,-0.301,7,3.576,-1.291,10,3.008,0.392,0,0,,0.208,1.583,23.542,11.583,0.375
Jordan Clark,Fremantle,25,25.2,Gen. Defender,24,11.188,103.917,89.375,41,1.708,7,4,89.708,15.875,8.25,24.125,75.648,73.228,80.303,67.301,2.542,37.705,65.803,3.042,5.208,2.917,8.271,4.875,4.949,479.458,19.874,236.058,715.517,463.654,233.55,29.283,10.17,1.233,19.22,1.626,59.043,-0.17,7,14.417,21.417,32.685,6.375,5.292,0,1.333,3.958,5.417,4.042,0.083,1.125,9.125,-26.818,7.417,8.875,5,0.125,0.083,0.304,0.125,100,1.208,1.333,0.917,86.364,4.75,0.5,0.042,1.5,0.042,1,0.875,0.125,0,0,0,,0,,0,,,3,0.083,0.333,25,0.042,100,2,0.083,0.125,0.458,0.292,0.417,2.5,18.182,4.125,17.774,1.625,11,2.223,-0.859,6,1.87,-0.87,5,2.646,-0.846,2.792,28.755,94.03,0.625,2.417,12.917,10.125,1.875
Jeremy Sharp,Fremantle,24,24.38,Midfielder,14,5.229,50.214,48.143,0,0,0,0,87.714,7,6.214,13.214,74.595,68.367,81.609,67.935,1,35.714,52.973,1.571,1.071,1.357,9.737,1.571,8.409,200.357,15.162,169.331,369.688,199.077,80.577,28.44,2.646,0.426,19.972,-1.9,56.774,-1.353,3.357,9.643,13,25.824,1.5,2.714,0.357,0.5,2.214,1.571,1.357,0.357,0.714,5.5,-13.897,3.357,4.786,3.857,1,0,0,0.143,,1,1.143,1.286,61.111,2.857,0,0.071,0.286,0,0.214,0.286,-0.071,0,0,0,,0,,0,,,1.286,0,0.143,50,0.214,0,3,0.214,0.357,0.643,0.071,0.143,2.143,33.333,2.714,11.692,0.571,9,2.118,0.437,2,2.053,-1.053,7,2.137,0.863,0,0,,0.857,0.643,9.071,4.071,0.429
Luke Jackson,Fremantle,24,24.25,Ruck,21,15.971,113.524,95.333,50,2.381,8,17,81.857,7.286,10.476,17.762,74.531,67.32,79.545,73.854,2.429,49.02,41.019,2.952,0.667,2.333,7.612,2.667,6.661,204.905,11.536,186.902,391.807,200.243,105.893,27.484,13.291,1.275,29.706,-2.027,56.961,-2.497,9.619,8.381,18,53.439,2.667,5.619,0.667,1.381,4.238,4.619,2.429,0.381,0.762,5.429,4.318,1.857,6.286,7.095,2.762,18.19,66.783,1.238,6.806,2.143,3.381,4.333,68.132,3.429,1.333,0.952,0.952,0.238,1.524,1.238,0.286,49.476,50.832,21.81,44.081,6.524,29.913,0.667,49.563,45.633,4.143,0.762,0.19,25,1.048,22.727,20,0.952,0.333,1.476,0.476,0.952,9.381,64.516,6,26.415,2.429,31,3.759,0.338,22,3.985,0.606,9,3.207,-0.318,0,0,,0,1.857,15.429,6.952,1.476
Brandon Walker,Fremantle,23,23.2,Gen. Defender,2,4.3,45,34,0,0,0,0,55.5,4.5,4.5,9,88.889,88.889,88.889,83.333,0.5,100,50,0.5,1.5,1.5,6,2,4.5,82,9.111,83.97,165.97,39.305,43.615,8.734,22.81,5.069,20.592,-9.481,77.802,-11.136,4.5,5,9.5,47.368,4,2.5,0,0.5,2,4,2,0,0.5,5,-23.65,2,4.5,3,0,0,0,0,,0.5,0.5,0,,0.5,0.5,0,0.5,0,1.5,0.5,1,0,0,0,,0,,0,,,2.5,0,0.5,0,0,,0,0,0,0,0,0.5,0.5,,1,5.128,0,0,,,0,,,0,,,0,0,,0,1,9,8,0.5
Caleb Serong,Fremantle,24,24.89,Midfielder,24,16.658,107.5,94.292,94,3.917,15,25,83.042,13.792,13.583,27.375,65.906,48.338,83.742,64.012,5.083,40.984,50.381,5.583,1.875,3.792,7.22,5.208,5.256,468.083,17.099,285.373,753.457,431.798,208.842,31.789,16.951,1.252,25.869,-4.761,45.82,-6.374,14.417,12.917,27.333,52.744,2.833,9.333,0.625,3.042,6.292,3.833,3.125,3.125,1.208,10.208,-5.976,3.5,11.833,10.375,1.625,22.292,81.431,3.833,17.196,4.375,8.208,9.083,81.193,1.708,0.125,0.083,0.292,0.042,1.75,0.708,1.042,0.042,0.043,0,0,0,,0,,,4.75,0.292,0.042,100,0,,7,0.292,0.25,0.708,0.583,1.083,6,41.176,5.917,25.494,1.875,17,3.057,-0.233,4,3.644,-0.394,13,2.876,-0.184,0,0,,0.292,1.167,22.625,10.917,0.167
