MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches,Tackles,PressureActs,Hitouts,Round
20260004,Ty Gallop,Brisbane,0.0,5.5,6.46,0.0,3.3,4.9,-1.6,51,64,0.0,0.0,80,7,3,10,50.0,168,93,3,5,3,5,3,2,2,0,0,4,0,2,2,0,1,4.8,-3.8,0,2,1,6,14,0,0
20260004,Will Ashcroft,Brisbane,0.0,12.8,12.82,6.7,-0.5,7.0,-1.2,98,109,0.12,0.0,83,16,14,30,66.7,388,143,6,11,10,3,2,13,2,74,7,4,0,1,2,0,1,8.0,-7.0,0,5,0,5,14,0,0
20260004,Zac Bailey,Brisbane,0.0,11.6,11.69,4.6,3.8,6.5,2.4,76,68,0.0,0.0,88,8,10,18,72.2,154,386,3,7,5,3,2,7,0,29,4,2,0,0,3,1,2,9.4,-1.4,0,6,1,3,14,0,0
20260004,Zane Zakostelsky,Brisbane,0.0,4.8,5.36,3.2,1.7,2.7,0.0,56,54,0.0,0.0,44,3,3,6,66.7,1,21,0,4,1,0,0,1,0,40,1,3,0,0,1,1,0,6.0,0.0,0,4,3,3,13,14,0
20260001,Adam Saad,Carlton,0.0,12.2,10.01,0.2,9.2,4.8,3.0,83,30,0.0,0.0,64,5,6,11,81.8,221,112,0,5,5,4,4,2,3,0,0,1,0,0,0,0,0,0.0,0.0,0,3,2,0,8,0,0
20260001,Ashton Moir,Carlton,0.0,6.8,5.68,2.5,2.9,1.5,3.7,57,59,0.0,0.0,78,7,3,10,80.0,105,169,0,3,1,2,1,2,0,3,2,3,0,0,2,1,0,6.4,-0.4,0,5,0,4,9,0,0
20260001,Ben Ainsworth,Carlton,0.0,16.3,6.66,1.8,11.9,4.7,8.9,62,60,0.0,0.0,74,7,7,14,85.7,287,160,3,3,3,2,2,7,1,0,1,3,0,0,3,2,0,7.4,4.6,1,5,1,1,10,0,0
20260001,Brodie Kemp,Carlton,0.0,5.4,6.66,0.0,2.0,7.1,-3.2,68,56,0.0,0.0,92,8,7,15,66.7,132,98,2,6,3,6,3,5,1,0,0,3,0,2,3,1,1,7.8,-0.8,0,3,0,1,10,0,0
20260001,Campbell Chesser,Carlton,0.0,3.7,6.6,2.2,0.9,4.5,0.4,63,60,0.0,0.0,75,8,9,17,76.5,274,159,0,5,5,2,2,5,3,0,0,5,2,0,1,0,0,2.3,-2.3,0,2,2,2,12,0,0
20260001,Cooper Lord,Carlton,0.0,11.3,9.15,1.9,4.8,6.1,0.4,85,76,0.0,0.0,74,11,15,26,76.9,408,321,7,7,5,5,3,12,4,22,1,3,0,0,1,0,1,2.5,-1.5,1,5,1,0,14,0,0
20260001,Elijah Hollands,Carlton,0.0,5.9,9.3,-1.3,6.6,7.7,-0.7,61,63,0.0,0.0,79,12,7,19,52.6,216,83,3,8,4,8,4,4,5,0,0,1,0,0,1,1,0,2.0,4.0,1,2,0,1,12,0,0
20260001,George Hewett,Carlton,0.0,2.8,12.36,0.0,-0.7,6.6,-5.6,70,75,0.0,0.0,65,9,10,19,52.6,181,80,1,7,4,4,2,10,1,53,2,2,0,1,0,0,0,0.0,0.0,0,2,0,6,25,0,0
20260001,Harry Dean,Carlton,0.0,11.2,5.36,-0.4,7.2,6.5,-1.8,59,48,0.0,0.0,80,7,7,14,57.1,220,136,1,7,4,6,3,6,6,0,0,1,0,0,0,0,0,0.0,0.0,0,1,1,2,14,0,0
