MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,Intercepts,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Tackles,PressureActs,Hitouts,Round
20190104,Alex Keath,Adelaide,0,13.2,10.04,70,77,94,13,7,20,50.0,373,2,13,8,13,1,6,6,3,0,0,0,0,1,1,2,10,0,1
20190104,Brad Crouch,Adelaide,0,15.3,13.52,91,109,75,13,15,28,67.9,335,3,10,7,3,5,6,0,0,2,2,0,0,4,0,2,19,0,1
20190104,Brodie Smith,Adelaide,0,8.1,12.11,81,75,83,9,12,21,66.7,349,2,6,6,6,1,5,0,0,1,0,1,1,5,3,2,17,0,1
20190104,Bryce Gibbs,Adelaide,0,9.4,10.89,69,79,72,10,6,16,62.5,150,1,6,4,3,2,3,1,1,0,0,0,0,2,0,7,11,0,1
20190104,Chayce Jones,Adelaide,0,5.8,5.36,53,50,74,3,6,9,66.7,75,1,4,3,0,1,3,0,0,2,1,1,0,4,1,4,14,0,1
20190104,Daniel Talia,Adelaide,0,8.3,9.69,77,61,90,7,11,18,83.3,160,0,4,3,6,0,4,1,0,0,0,0,0,0,0,1,7,0,1
20190104,David Mackay,Adelaide,0,7.2,7.64,57,65,83,13,6,19,68.4,465,1,6,5,6,0,2,0,0,0,0,0,0,1,0,2,18,0,1
20190104,Eddie Betts,Adelaide,0,6.8,11.09,56,59,87,6,4,10,70.0,224,3,6,2,0,3,3,0,0,3,2,0,0,4,1,3,7,0,1
20190104,Jake Kelly,Adelaide,0,10.2,6.82,84,74,95,11,14,25,76.0,288,1,7,5,9,0,4,1,1,0,0,0,0,2,0,1,9,0,1
20190104,Josh Jenkins,Adelaide,0,5.7,10.4,54,68,92,7,5,12,66.7,219,3,3,1,1,0,5,0,0,2,0,0,1,4,1,4,16,4,1
20190104,Lachlan Murphy,Adelaide,0,3.6,7.18,31,38,76,5,6,11,54.5,151,4,3,2,1,1,2,1,0,0,0,0,2,3,0,1,17,0,1
20190104,Matt Crouch,Adelaide,1,19.9,12.3,138,132,81,16,24,40,77.5,336,4,17,14,5,5,5,1,0,1,1,0,0,8,1,4,19,0,1
20190104,Richard Douglas,Adelaide,0,1.2,10.91,46,59,71,13,2,15,46.7,267,3,4,3,0,1,4,0,0,2,0,2,0,4,0,1,21,0,1
20190104,Riley Knight,Adelaide,0,5.4,7.55,67,72,89,8,12,20,70.0,129,1,8,6,2,1,3,0,0,1,0,1,0,3,2,3,20,0,1
20190104,Rory Atkins,Adelaide,0,5.6,10.34,74,97,88,22,9,31,61.3,626,10,6,6,3,1,7,1,0,3,0,1,0,7,0,0,16,0,1
20190104,Rory Laird,Adelaide,0,7.9,11.43,102,103,88,18,11,29,72.4,549,4,7,7,8,0,5,1,0,0,0,0,0,2,0,3,10,0,1
20190104,Rory Sloane,Adelaide,6,25.2,15.06,155,144,86,15,21,36,72.2,443,4,22,14,5,11,4,1,0,1,1,0,1,8,1,9,30,0,1
20190104,Sam Jacobs,Adelaide,0,12.0,11.45,86,73,81,6,6,12,66.7,152,3,6,4,1,3,2,1,1,1,0,1,0,3,3,2,8,31,1
20190104,Taylor Walker,Adelaide,0,5.8,10.53,50,54,92,8,5,13,61.5,194,5,7,5,1,0,6,0,1,1,0,1,0,4,0,1,13,0,1
20190104,Tom Doedee,Adelaide,0,8.2,10.63,56,34,27,5,3,8,100.0,110,0,3,1,4,0,3,2,1,0,0,0,0,1,1,1,2,0,1
20190104,Tom Lynch,Adelaide,0,16.0,11.03,79,67,92,8,12,20,70.0,103,2,15,11,2,0,5,0,3,0,0,0,0,5,1,1,18,0,1
20190104,Wayne Milera,Adelaide,0,16.0,10.76,82,95,86,13,13,26,84.6,336,1,9,8,7,4,4,1,0,1,0,1,0,2,2,4,15,0,1
20190106,Alex Witherden,Brisbane,0,8.5,7.29,97,83,86,16,9,25,92.0,384,2,5,3,3,1,7,1,0,0,0,0,0,4,1,0,5,0,1
20190106,Cam Rayner,Brisbane,0,7.5,8.76,55,68,87,10,4,14,57.1,349,3,4,3,1,0,4,0,0,5,2,3,0,7,0,2,14,0,1
20190106,Charlie Cameron,Brisbane,4,15.2,10.28,110,79,87,9,4,13,76.9,198,3,6,6,1,2,5,0,0,4,3,1,1,9,2,4,14,0,1
20190106,Daniel McStay,Brisbane,0,9.8,7.17,46,39,86,5,6,11,72.7,119,2,9,6,2,1,2,0,2,0,0,0,0,2,1,2,13,0,1
20190106,Daniel Rich,Brisbane,3,7.8,11.03,97,101,87,21,2,23,78.3,517,1,3,3,5,0,8,1,0,1,1,0,0,3,1,1,6,0,1
20190106,Darcy Gardiner,Brisbane,0,5.3,8.47,51,64,84,12,3,15,60.0,179,2,8,6,9,0,6,1,1,0,0,0,1,2,0,2,5,0,1
20190106,Dayne Zorko,Brisbane,4,13.2,15.24,112,94,86,15,5,20,70.0,498,9,13,7,3,4,2,0,0,3,1,1,2,12,2,8,28,0,1
20190106,Eric Hipwood,Brisbane,0,-0.1,5.79,30,30,92,8,0,8,50.0,255,2,3,1,0,0,2,0,1,2,0,1,1,3,0,1,2,0,1
20190106,Harris Andrews,Brisbane,3,23.4,13.25,117,67,93,8,12,20,95.0,262,1,7,7,8,0,6,0,0,0,0,0,0,3,2,1,5,0,1
20190106,Hugh McCluggage,Brisbane,10,14.3,8.59,114,92,67,12,8,20,85.0,461,8,9,8,2,5,4,0,0,2,1,1,1,8,2,5,15,0,1
20190106,Jarrod Berry,Brisbane,0,13.9,10.82,115,88,75,10,15,25,84.0,297,4,10,7,5,5,4,1,0,1,0,1,2,7,2,4,13,0,1
20190106,Jarryd Lyons,Brisbane,0,9.5,13.87,92,96,84,15,11,26,53.8,463,5,8,5,0,4,1,0,0,1,0,0,1,7,1,7,22,0,1
20190106,Josh Walker,Brisbane,0,8.1,8.78,52,42,84,6,4,10,80.0,90,0,6,4,6,0,5,1,1,0,0,0,0,1,1,1,2,0,1
20190106,Lachie Neale,Brisbane,2,19.5,15.31,127,91,87,11,18,29,86.2,232,1,14,9,6,5,2,0,0,2,1,1,0,5,3,2,14,0,1
