Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,xThreatPerKick,ThreatRating,xRetainPerKick,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Jamie Elliott,Collingwood,29,29.36,Gen. Forward,13,12.131,78.692,73.923,15,1.154,2,3,79.308,9.769,5.615,15.385,67.5,59.843,80.822,63.5,3.154,0.385,215.308,13.995,3.692,4.167,3.923,3.922,33.405,-14.417,56.659,0.303,6.462,8.923,15.385,42.0,0.923,4.385,2.154,1.615,2.769,4.769,3.385,0.462,1.308,3.846,6.385,23.714,0.385,6.024,0.769,1.154,1.692,50.0,4.692,0.538,2.0,0.0,2.077,0.769,1.154,-0.385,0.0,0.0,0.0,,0.0,,0.0,2.462,1.0,0.0,,1.692,22.727,25,1.923,0.615,2.769,0.538,69.444,5.154,25.869,0.462,36,3.33,1.059,24,3.246,1.046,12,3.498,1.085,0.0,0.0,,0.385,1.615,15.923,3.462,0.462
Jack Crisp,Collingwood,28,28.24,Gen. Defender,22,14.109,104.909,101.773,36,1.636,8,11,88.455,15.5,11.5,27.0,74.916,66.276,86.561,57.407,4.136,3.818,436.571,16.255,4.182,6.457,5.591,4.829,22.977,1.237,58.191,2.186,9.136,18.227,27.364,33.389,6.182,6.318,0.273,2.273,4.045,5.5,4.136,1.0,1.818,10.955,9.636,37.063,0.909,9.434,1.864,2.773,2.636,82.759,6.727,0.727,0.045,1.818,0.136,0.727,1.318,-0.591,0.0,0.0,0.0,,0.0,,0.0,3.636,0.091,0.455,0.0,0.045,100.0,2,0.091,0.227,0.455,0.591,20.0,4.773,24.306,1.591,10,2.734,-1.034,3,2.43,-1.43,7,2.864,-0.864,0.591,6.373,69.231,0.409,2.864,18.364,11.091,1.273
Brodie Grundy,Collingwood,27,27.71,Ruck,20,15.34,115.2,106.4,27,1.35,6,9,80.95,9.25,9.85,19.1,66.492,54.054,78.173,48.429,2.45,1.4,191.368,10.044,4.6,4.152,3.6,5.306,24.704,-0.021,55.953,-5.32,10.9,8.7,19.6,55.612,2.7,6.55,0.65,2.45,4.1,4.8,2.9,0.0,1.0,4.95,20.8,79.541,1.35,6.49,2.65,4.0,5.3,77.358,3.6,1.0,0.45,0.7,0.15,1.55,2.15,-0.6,60.75,77.045,32.35,53.251,10.7,33.076,1.6,4.2,0.45,0.7,21.429,1.3,34.615,12,0.6,0.3,1.0,0.25,60.0,4.65,23.907,2.65,20,3.51,0.39,12,4.05,1.033,8,2.7,-0.575,0.0,0.0,,0.15,2.1,14.25,7.1,1.6
Darcy Moore,Collingwood,25,25.93,Key Defender,13,12.108,89.692,73.077,24,1.846,3,2,93.154,11.769,5.231,17.0,85.973,84.967,88.235,69.231,1.0,4.077,266.25,15.435,2.462,6.906,2.692,6.314,16.555,3.445,67.524,5.58,5.692,9.462,15.154,37.563,7.615,2.923,0.077,1.0,1.923,5.615,2.846,0.0,0.923,2.154,0.0,0.0,0.0,,0.077,0.077,0.0,,8.231,1.923,0.462,3.385,0.385,0.692,1.231,-0.538,0.0,0.0,0.0,,0.0,,0.0,0.923,0.0,3.077,22.5,0.769,30.0,4,0.308,0.077,0.462,0.308,66.667,3.154,15.769,1.615,6,3.948,0.219,6,3.948,0.219,0,,,2.231,23.387,82.759,0.231,5.692,6.231,4.538,5.0
Brayden Maynard,Collingwood,25,25.27,Gen. Defender,22,10.295,92.318,81.455,28,1.273,6,0,86.318,15.227,5.727,20.955,80.477,79.403,83.333,72.668,1.864,4.818,442.571,20.98,2.955,7.092,4.409,4.753,16.93,-1.991,58.866,2.719,5.091,13.636,18.727,27.184,5.182,3.318,0.0,1.091,2.227,4.455,2.864,0.091,0.909,7.682,0.045,0.175,0.045,100.0,0.409,0.455,0.273,83.333,5.5,0.591,0.0,1.227,0.045,0.727,1.182,-0.455,0.0,0.0,0.0,,0.0,,0.0,2.591,0.136,2.182,25.0,0.0,,1,0.045,0.0,0.091,0.091,50.0,2.455,12.5,0.773,2,2.412,0.588,0,,,2,2.412,0.588,3.182,34.314,75.714,0.136,4.5,12.455,9.636,3.136
Jordan De Goey,Collingwood,25,25.79,Mid-Forward,20,9.095,85.15,84.5,52,2.6,9,9,83.4,12.55,8.45,21.0,69.048,57.371,86.391,59.762,3.5,1.2,325.632,15.054,3.05,6.885,3.4,6.176,27.146,0.962,57.579,4.043,7.0,14.4,21.4,32.71,1.4,4.0,0.9,1.15,2.85,3.15,2.25,1.65,1.1,7.95,11.95,46.955,1.25,10.46,1.75,3.0,3.55,80.282,5.4,0.45,1.55,0.1,1.15,0.6,0.9,-0.3,0.0,0.0,0.0,,0.0,,0.0,1.95,0.45,0.0,,1.1,27.273,23,1.15,1.15,2.85,0.65,40.351,6.3,32.061,0.8,57,3.131,-0.306,35,3.559,0.07,22,2.45,-0.905,0.0,0.0,,0.0,1.0,12.0,4.05,0.15
Mason Cox,Collingwood,30,30.8,Key Forward,7,5.557,50.571,50.571,0,0.0,0,0,74.0,5.857,3.571,9.429,62.121,48.78,84.0,62.121,1.429,0.429,126.333,13.536,2.143,4.4,2.429,3.882,34.601,-12.378,56.057,-11.613,5.429,3.286,8.714,62.295,0.714,2.0,1.143,0.857,1.143,4.857,1.857,0.0,0.143,0.714,1.857,7.065,0.286,15.385,0.286,0.571,1.0,100.0,3.714,1.429,1.143,0.286,0.571,1.571,0.714,0.857,6.0,7.394,3.286,54.762,1.0,30.435,0.286,1.0,0.714,0.143,0.0,3.571,28.0,8,1.143,1.143,2.429,0.286,47.059,4.857,25.185,1.143,17,4.289,-0.995,12,4.734,-0.817,5,3.223,-1.423,0.0,0.0,,0.0,2.0,5.571,1.429,1.286
Aaron Naughton,Western Bulldogs,22,22.08,Key Forward,25,7.812,71.2,66.32,32,1.28,8,0,81.64,7.44,3.76,11.2,63.571,56.452,77.66,66.429,1.8,0.0,181.0,16.161,1.84,6.087,1.96,5.714,31.236,-1.825,58.849,4.68,6.04,5.56,11.6,52.069,0.56,2.36,1.36,1.16,1.2,5.88,2.28,0.04,0.6,1.6,0.04,0.149,0.0,0.0,0.12,0.12,0.12,66.667,6.12,2.6,3.2,0.08,1.76,0.84,0.64,0.2,0.16,0.178,0.08,50.0,0.0,0.0,0.0,1.56,0.88,0.04,0.0,4.8,33.333,47,1.88,1.6,3.92,0.44,47.959,5.92,23.68,0.28,98,3.912,-0.626,88,4.046,-0.524,10,2.725,-1.525,0.0,0.0,,0.08,1.36,9.16,0.88,0.92
Patrick Lipinski,Western Bulldogs,23,23.45,Midfielder,11,6.455,54.091,53.182,0,0.0,0,0,60.364,6.727,7.182,13.909,83.007,74.324,91.139,48.366,1.818,1.545,185.182,13.314,1.455,9.562,1.818,7.65,25.276,7.56,54.461,12.703,3.364,10.818,14.182,23.718,1.636,2.727,0.636,0.455,2.273,2.0,1.636,0.182,0.545,6.818,0.818,2.941,0.091,11.111,1.091,1.182,1.364,86.667,3.545,0.091,0.273,0.182,0.0,0.182,0.455,-0.273,0.0,0.0,0.0,,0.0,,0.0,2.0,0.636,0.091,0.0,0.455,0.0,2,0.182,0.091,0.364,0.364,50.0,3.364,12.671,0.727,4,3.279,-0.029,3,3.729,0.605,1,1.931,-1.931,0.0,0.0,,0.0,0.727,9.818,4.364,0.273
Tim English,Western Bulldogs,24,24.39,Ruck,22,10.032,87.0,78.682,9,0.409,1,3,82.318,7.455,5.727,13.182,71.034,61.585,83.333,56.552,1.455,0.727,161.909,12.283,2.273,5.8,2.318,5.686,24.156,-6.508,60.263,-7.322,6.545,6.682,13.227,49.485,2.5,3.0,0.727,1.0,2.0,3.727,1.636,0.0,0.409,2.864,13.091,50.0,0.682,5.208,1.182,1.864,2.182,79.167,4.682,1.409,1.318,1.409,0.591,1.273,1.091,0.182,46.682,51.79,15.5,33.204,4.955,31.965,0.636,2.864,0.591,0.727,37.5,1.182,19.231,19,0.864,0.682,1.773,0.227,48.718,4.318,17.658,2.045,39,3.649,-0.341,34,3.721,-0.368,5,3.162,-0.162,0.0,0.0,,0.182,2.909,10.636,4.045,2.318
Laitham Vandermeer,Western Bulldogs,22,22.9,Gen. Forward,11,4.764,45.636,39.727,3,0.273,1,0,66.455,4.182,4.545,8.727,69.792,56.522,82.0,47.917,1.818,0.0,136.636,15.656,1.909,4.571,2.0,4.364,32.232,-5.565,44.44,5.56,4.455,4.818,9.273,48.039,0.727,3.364,1.545,1.182,2.182,4.182,3.182,0.0,1.818,2.455,0.0,0.0,0.0,,0.182,0.182,0.091,100.0,2.182,0.364,0.727,0.0,0.091,0.545,0.818,-0.273,0.0,0.0,0.0,,0.0,,0.0,2.364,0.818,0.0,,1.091,16.667,6,0.545,0.727,1.364,0.727,40.0,3.909,16.538,0.364,15,3.955,-1.022,9,4.214,-2.103,6,3.567,0.599,0.0,0.0,,0.091,0.818,13.818,3.273,0.182
Rhylee West,Western Bulldogs,21,21.47,Gen. Forward,4,-0.1,3.75,7.25,0,0.0,0,0,30.0,1.5,0.75,2.25,44.444,16.667,100.0,66.667,0.75,0.0,53.0,23.556,1.5,1.5,1.0,2.25,22.177,-22.177,34.113,-34.113,0.5,1.75,2.25,22.222,0.0,0.5,0.0,0.25,0.25,0.25,0.25,0.0,0.25,1.25,0.25,0.99,0.25,100.0,0.0,0.25,0.0,,0.5,0.0,0.25,0.0,0.0,0.0,1.25,-1.25,0.0,0.0,0.0,,0.0,,0.0,0.75,0.5,0.0,,1.0,0.0,0,0.0,0.5,0.75,0.0,0.0,1.0,4.255,0.0,3,2.58,-1.913,1,2.717,-2.717,2,2.512,-1.512,0.0,0.0,,0.0,0.25,4.75,1.25,0.25
Bailey Smith,Western Bulldogs,21,21.06,Midfielder,26,11.769,89.923,88.385,43,1.654,8,8,82.077,13.615,9.962,23.577,72.104,63.277,84.17,57.749,3.885,1.692,426.923,18.108,3.269,7.212,4.885,4.827,24.639,-2.306,49.788,-2.122,7.423,16.154,23.577,31.485,2.577,5.615,0.808,2.192,3.423,3.423,2.885,0.962,1.154,11.077,7.808,29.335,0.769,9.852,2.192,2.962,3.269,77.647,3.731,0.115,0.269,0.308,0.192,0.808,0.731,0.077,0.0,0.0,0.0,,0.0,,0.0,3.346,0.308,0.038,100.0,0.346,33.333,17,0.654,0.5,1.385,0.423,47.222,5.615,22.636,1.231,36,2.997,0.197,10,3.064,0.336,26,2.972,0.144,0.0,0.0,,0.5,0.885,16.5,8.346,0.192
Lachlan McNeil,Western Bulldogs,20,20.32,Gen. Forward,13,5.023,40.154,36.692,0,0.0,0,0,62.846,4.615,3.923,8.538,63.063,51.667,76.471,54.054,1.615,0.0,129.846,15.207,1.769,4.826,2.154,3.964,31.983,-17.349,56.837,-10.496,3.846,5.0,8.846,43.478,1.308,3.231,1.615,1.077,2.154,3.692,3.077,0.0,1.231,3.0,0.0,0.0,0.077,,0.077,0.154,0.077,0.0,1.615,0.154,0.308,0.154,0.077,0.538,0.538,0.0,0.0,0.0,0.0,,0.0,,0.0,1.846,1.077,0.154,50.0,0.538,14.286,7,0.538,0.615,1.385,0.308,38.889,2.692,10.234,0.538,18,3.524,-0.746,8,3.65,-0.9,10,3.423,-0.623,0.0,0.0,,0.231,1.385,10.385,2.923,0.615
Taylor Duryea,Western Bulldogs,30,30.68,Gen. Defender,25,7.736,72.88,69.04,5,0.2,2,0,80.2,11.24,6.24,17.48,84.668,81.495,90.385,64.302,2.0,3.16,302.6,17.311,1.96,8.918,3.24,5.395,20.152,-3.171,58.228,2.904,4.32,11.8,16.12,26.799,5.36,3.08,0.08,1.12,1.96,3.84,2.8,0.04,1.0,5.6,0.0,0.0,0.08,,0.36,0.44,0.28,71.429,5.28,0.4,0.0,1.52,0.04,0.88,0.6,0.28,0.0,0.0,0.0,,0.0,,0.0,1.92,0.04,1.24,35.484,0.0,,1,0.04,0.0,0.08,0.2,50.0,2.52,10.244,0.96,2,4.077,-1.077,1,5.827,0.173,1,2.328,-2.328,1.12,11.475,89.286,0.16,2.8,8.52,6.32,2.0
Tom Liberatore,Western Bulldogs,29,29.62,Midfielder,25,16.468,103.28,90.76,48,1.92,11,4,78.68,11.4,12.52,23.92,71.906,57.544,84.984,47.659,4.36,1.4,318.56,13.318,3.4,7.035,3.92,6.102,27.047,0.3,49.349,-3.226,13.6,10.92,24.52,55.465,2.72,10.12,1.64,5.4,4.72,4.4,3.64,1.8,1.16,7.12,18.2,68.524,3.16,17.363,4.4,7.56,7.28,85.714,2.6,0.08,0.4,0.12,0.2,1.4,1.04,0.36,0.0,0.0,0.0,,0.0,,0.0,5.4,1.12,0.08,50.0,0.04,0.0,14,0.56,0.48,1.24,0.32,45.161,6.32,25.28,2.48,31,2.912,0.185,10,3.378,-0.178,21,2.689,0.358,0.0,0.0,,0.04,1.84,26.52,10.12,0.12
Adam Treloar,Western Bulldogs,28,28.81,Mid-Forward,17,12.5,91.0,86.353,26,1.529,6,7,75.294,10.941,12.294,23.235,72.658,57.527,86.124,47.089,3.765,1.0,317.765,13.676,3.176,7.315,3.765,6.172,26.792,-0.219,53.755,0.791,9.059,14.0,23.059,39.286,3.235,7.706,1.471,3.294,4.412,5.059,4.706,0.706,1.647,9.294,9.235,34.13,1.118,12.102,2.118,3.235,3.294,89.286,2.941,0.059,0.176,0.118,0.059,0.647,0.941,-0.294,0.059,0.066,0.0,0.0,0.0,,0.0,4.294,0.882,0.118,50.0,0.353,16.667,13,0.765,0.529,1.706,0.706,44.828,6.059,24.292,1.471,29,2.69,0.31,6,2.403,1.764,23,2.764,-0.069,0.0,0.0,,0.941,0.882,15.294,7.118,0.412
Lachie Hunter,Western Bulldogs,27,27.04,Midfielder,25,8.948,87.16,84.28,4,0.16,2,0,84.2,13.04,8.8,21.84,71.978,62.27,86.364,59.707,4.04,1.08,369.28,16.908,2.28,9.579,4.64,4.707,26.365,-0.413,49.257,0.57,5.76,16.12,21.88,26.325,2.32,4.08,0.8,1.12,2.96,3.56,2.64,0.4,1.48,9.36,0.24,0.908,0.16,66.667,1.76,1.92,1.68,78.571,5.0,0.08,0.6,0.32,0.16,1.36,0.36,1.0,0.0,0.0,0.0,,0.0,,0.0,2.4,0.4,0.16,100.0,0.4,30.0,10,0.4,0.28,0.84,0.88,47.619,6.08,24.359,0.8,21,3.238,-0.048,12,3.805,0.862,9,2.483,-1.261,0.0,0.0,,0.6,2.08,13.24,5.12,0.76
Caleb Daniel,Western Bulldogs,25,25.48,Gen. Defender,25,11.224,94.4,87.32,26,1.04,8,4,80.64,14.56,10.68,25.24,78.605,70.055,90.262,57.686,1.8,4.92,394.68,15.637,3.04,8.303,4.2,6.01,18.786,-4.046,56.361,2.888,7.4,15.44,22.84,32.399,4.48,5.88,0.56,1.68,4.2,5.0,4.12,0.56,2.12,10.68,1.28,4.819,0.24,18.75,1.84,2.08,1.8,88.889,4.0,0.2,0.08,0.44,0.12,0.72,0.48,0.24,0.0,0.0,0.0,,0.0,,0.0,2.32,0.08,0.4,30.0,0.08,0.0,7,0.28,0.04,0.4,0.36,70.0,4.08,16.667,1.2,10,3.006,1.294,3,3.015,2.985,7,3.003,0.569,2.8,28.689,92.857,1.04,1.52,14.36,8.52,0.52
