Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,xThreatPerKick,ThreatRating,xRetainPerKick,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Lochie O'Brien,Carlton,22,22.28,Midfielder,5,8.1,64.6,63.0,0,0.0,0,0,80.6,9.8,6.2,16.0,76.25,73.469,80.645,61.25,3.4,1.6,290.4,18.15,1.8,8.889,3.6,4.444,24.238,9.095,53.188,15.701,4.6,11.4,16.0,28.75,3.2,3.8,0.4,0.6,3.2,3.8,3.2,0.0,1.8,6.6,0.0,0.0,0.2,,0.4,0.6,0.2,100.0,4.0,0.0,0.0,0.6,0.2,0.8,0.2,0.6,0.0,0.0,0.0,,0.0,,0.0,1.8,0.0,0.2,0.0,0.2,100.0,1,0.2,0.6,0.8,0.8,25.0,4.4,21.154,0.4,4,3.287,-1.037,0,,,4,3.287,-1.037,0.0,0.0,,0.6,1.0,15.0,9.2,0.6
Marc Murphy,Carlton,34,34.45,Gen. Forward,15,7.16,49.933,52.133,0,0.0,0,0,59.133,7.667,5.067,12.733,67.539,65.217,71.053,60.209,2.133,0.533,195.467,15.351,1.4,9.095,2.133,5.969,28.779,9.931,51.792,7.348,3.733,9.133,12.867,29.016,1.4,2.933,0.4,1.0,1.933,2.2,1.6,0.133,0.533,5.0,0.733,2.6,0.267,36.364,0.867,1.133,0.733,63.636,3.133,0.0,0.333,0.133,0.2,0.533,0.267,0.267,0.0,0.0,0.0,,0.0,,0.0,1.6,0.067,0.0,,0.533,12.5,8,0.533,0.267,0.8,0.4,66.667,3.867,17.262,0.6,12,2.889,1.444,4,3.091,1.659,8,2.788,1.337,0.0,0.0,,0.067,0.4,10.933,4.333,0.2
Ed Curnow,Carlton,32,32.14,Midfielder,22,10.091,86.136,88.864,15,0.682,3,4,83.455,14.455,8.091,22.545,66.532,55.346,86.517,64.113,4.318,1.318,356.318,15.804,3.136,7.188,4.455,5.061,26.182,0.437,51.596,-3.035,7.636,14.409,22.045,34.639,2.364,6.045,0.545,2.5,3.545,3.364,2.818,0.864,1.227,8.136,13.955,49.838,0.864,6.189,2.227,3.091,3.636,75.0,4.818,0.091,0.273,0.045,0.545,0.591,1.045,-0.455,0.091,0.106,0.0,0.0,0.0,,0.0,3.636,0.591,0.227,80.0,0.273,33.333,10,0.455,0.136,0.636,0.727,71.429,5.136,22.782,0.818,14,2.979,1.521,6,3.023,1.31,8,2.947,1.678,0.0,0.0,,0.136,0.955,15.273,7.091,0.273
Levi Casboult,Carlton,31,31.79,Key Forward,13,4.185,49.692,48.615,0,0.0,0,0,80.154,5.923,2.615,8.538,54.054,44.156,76.471,69.369,1.154,0.077,126.462,14.811,3.154,2.707,3.077,2.775,27.702,7.592,49.95,-6.812,4.769,4.154,8.923,53.448,0.692,1.692,0.462,1.077,0.615,3.692,1.385,0.0,0.308,1.385,4.308,14.737,0.308,7.143,0.462,0.769,1.231,75.0,3.615,1.308,1.077,0.154,0.923,0.846,1.308,-0.462,15.846,17.728,6.077,38.35,1.923,31.646,0.615,1.923,0.385,0.308,50.0,3.385,27.273,8,0.615,0.385,1.538,0.231,40.0,3.615,15.563,0.462,20,3.253,-0.603,16,3.486,-0.611,4,2.324,-0.574,0.0,0.0,,0.0,2.0,8.077,2.923,1.385
Jack Newnes,Carlton,28,28.84,Midfielder,19,7.205,66.526,65.474,0,0.0,0,0,75.737,9.895,6.526,16.421,75.0,65.957,88.71,60.256,2.158,1.474,257.579,15.686,2.211,7.429,3.105,5.288,24.355,0.344,58.656,2.79,5.158,11.158,16.316,31.613,2.684,3.737,0.263,0.842,2.895,3.579,2.526,0.211,0.789,5.211,0.0,0.0,0.053,,1.316,1.368,0.947,77.778,4.895,0.158,0.368,0.737,0.368,1.053,0.632,0.421,0.0,0.0,0.0,,0.0,,0.0,1.789,0.211,0.421,12.5,0.211,50.0,4,0.211,0.474,0.842,0.105,25.0,4.0,17.512,0.842,16,2.994,-0.931,6,3.6,-0.934,10,2.63,-0.93,0.053,0.481,100.0,0.526,1.421,9.579,5.0,0.737
Lachie Plowman,Carlton,27,27.3,Gen. Defender,19,7.011,53.684,48.105,0,0.0,0,0,90.158,8.421,3.105,11.526,80.365,78.75,84.746,73.059,0.474,2.053,166.421,14.438,1.947,5.919,1.684,6.844,17.583,-3.204,70.85,1.699,3.368,7.263,10.632,31.683,4.632,2.053,0.0,0.421,1.632,3.053,1.842,0.0,0.632,2.316,0.0,0.0,0.0,,0.105,0.105,0.263,40.0,4.474,0.421,0.0,1.316,0.053,0.737,0.684,0.053,0.0,0.0,0.0,,0.0,,0.0,1.053,0.0,2.684,21.569,0.053,100.0,1,0.053,0.0,0.053,0.0,100.0,1.632,7.226,0.842,1,1.604,4.396,1,1.604,4.396,0,,,1.421,12.558,62.963,0.105,4.684,7.474,6.105,3.737
Michael Gibbons,Carlton,26,26.63,Gen. Forward,11,9.355,64.545,61.455,0,0.0,0,0,71.727,8.909,5.273,14.182,68.59,56.122,89.655,62.821,2.909,0.727,253.727,17.891,2.182,6.5,2.818,5.032,28.762,-2.735,48.305,1.01,5.273,9.182,14.455,36.478,0.727,3.636,1.364,1.182,2.455,3.0,2.273,0.818,1.545,4.727,0.0,0.0,0.182,,1.727,1.909,1.273,78.571,3.545,0.091,0.636,0.091,0.636,0.545,0.545,0.0,0.0,0.0,0.0,,0.0,,0.0,2.455,0.636,0.091,100.0,0.727,0.0,8,0.727,0.455,1.545,0.545,47.059,5.091,21.293,0.727,17,2.762,0.355,7,3.177,0.394,10,2.472,0.328,0.0,0.0,,0.273,1.455,14.818,3.545,0.455
Sam Petrevski-Seton,Carlton,23,23.86,Gen. Defender,14,6.643,58.714,56.929,0,0.0,0,0,62.5,9.571,4.571,14.143,75.758,70.896,85.938,67.677,1.0,1.714,187.857,13.283,2.071,6.828,1.929,7.333,21.821,10.719,64.4,9.41,4.357,9.429,13.786,31.606,3.286,3.571,0.286,1.214,2.357,3.286,2.857,0.286,1.0,4.786,1.571,5.528,0.143,9.091,0.571,0.714,0.714,70.0,4.0,0.357,0.286,0.643,0.143,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,,0.0,1.857,0.214,0.429,33.333,0.143,50.0,1,0.071,0.214,0.357,0.143,20.0,3.857,16.314,1.071,5,3.542,-1.742,3,3.143,-2.477,2,4.141,-0.641,0.357,3.226,80.0,0.143,1.286,12.143,7.0,0.714
Thomas Williamson,Carlton,23,23.05,Gen. Defender,11,4.7,44.818,47.0,0,0.0,0,0,79.273,7.545,3.727,11.273,73.387,67.47,85.366,66.935,1.727,1.909,231.0,20.492,1.818,6.2,2.091,5.391,20.025,1.597,54.759,6.051,2.727,8.636,11.364,24.0,2.818,2.364,0.091,0.273,2.091,2.273,1.909,0.0,0.818,4.364,0.0,0.0,0.0,,0.455,0.455,0.182,100.0,3.909,0.091,0.273,0.636,0.0,0.182,0.727,-0.545,0.0,0.0,0.0,,0.0,,0.0,1.455,0.091,0.455,40.0,0.273,0.0,2,0.182,0.273,0.545,0.182,33.333,3.0,14.103,1.0,6,3.411,-0.911,4,3.296,-0.046,2,3.639,-2.639,0.364,3.252,50.0,0.091,1.818,11.455,8.182,1.091
Jack Riewoldt,Richmond,33,33.16,Key Forward,22,10.205,69.955,64.318,30,1.364,5,8,93.318,8.5,2.409,10.909,55.417,53.476,62.264,77.917,2.318,0.045,247.364,22.675,2.955,3.692,2.955,3.692,36.987,-2.372,48.789,2.493,4.682,5.909,10.591,44.206,1.182,2.409,1.182,1.091,1.318,4.182,2.182,0.0,0.818,1.409,0.0,0.0,0.0,,0.227,0.227,0.364,50.0,4.864,1.227,3.091,0.045,2.045,0.545,1.091,-0.545,0.727,0.918,0.0,0.0,0.0,,0.091,1.727,0.818,0.045,100.0,4.045,23.596,51,2.318,1.318,4.182,0.773,55.435,6.0,27.615,0.682,92,3.229,0.413,74,3.255,0.407,18,3.12,0.435,0.0,0.0,,0.091,1.545,9.909,1.545,0.773
Shane Edwards,Richmond,33,33.18,Midfielder,16,12.363,73.938,65.0,5,0.312,1,0,78.625,9.312,9.062,18.375,70.748,62.416,79.31,50.68,2.562,1.75,301.062,16.384,2.688,6.837,3.0,6.125,26.855,5.041,54.169,7.038,7.062,10.938,18.0,39.236,2.812,4.938,0.562,1.0,3.938,3.375,3.062,1.062,1.562,7.0,12.688,49.755,1.562,12.315,1.438,3.0,3.438,72.727,2.938,0.125,0.375,0.375,0.062,0.375,0.812,-0.438,0.0,0.0,0.0,,0.0,,0.0,2.25,0.125,0.125,0.0,0.062,0.0,8,0.5,0.188,0.938,0.438,53.333,4.688,21.676,1.375,15,2.905,0.495,6,3.3,1.866,9,2.641,-0.419,0.125,1.198,100.0,0.25,1.75,14.312,7.688,0.5
Dylan Grimes,Richmond,30,30.46,Key Defender,21,8.881,71.476,58.857,5,0.238,3,1,87.762,7.571,6.048,13.619,82.168,77.987,87.402,55.594,0.714,2.238,165.19,12.129,2.429,5.608,2.19,6.217,19.034,-2.142,69.599,-4.734,5.81,7.667,13.476,43.11,7.571,3.524,0.0,1.048,2.476,5.429,3.19,0.0,0.952,2.476,0.0,0.0,0.0,,0.286,0.286,0.333,100.0,5.619,1.048,0.0,2.524,0.048,1.095,0.952,0.143,0.048,0.06,0.0,0.0,0.0,,0.0,2.238,0.0,2.714,24.561,0.048,0.0,0,0.0,0.0,0.0,0.095,,1.905,8.696,1.095,0,,,0,,,0,,,0.333,3.241,57.143,0.0,5.762,8.429,6.905,4.476
Kane Lambert,Richmond,30,30.09,Gen. Forward,13,8.831,76.308,77.154,17,1.308,4,3,79.846,10.538,10.077,20.615,68.284,59.124,77.863,51.119,3.385,0.923,265.538,12.881,3.231,6.381,3.769,5.469,30.378,7.717,57.923,3.982,5.538,14.385,19.923,27.799,2.0,4.769,1.077,1.462,3.308,3.846,3.538,0.154,1.538,8.0,2.0,7.903,0.231,11.538,0.692,0.923,1.538,60.0,4.154,0.077,0.615,0.154,0.154,0.538,1.0,-0.462,0.0,0.0,0.0,,0.0,,0.0,3.077,0.769,0.0,,0.308,25.0,6,0.462,0.308,1.385,0.769,33.333,6.231,28.223,0.846,18,3.286,-1.064,6,3.532,-2.365,12,3.164,-0.414,0.0,0.0,,0.0,1.538,15.923,5.462,0.385
David Astbury,Richmond,30,30.84,Key Defender,17,6.694,62.588,57.0,0,0.0,0,1,90.176,8.0,5.706,13.706,83.691,84.559,82.474,58.369,0.647,2.471,177.353,12.94,1.706,8.034,2.294,5.974,18.59,0.813,68.481,-2.063,4.059,9.294,13.353,30.396,5.059,2.529,0.0,0.471,2.059,3.588,2.176,0.0,0.588,3.647,0.412,1.566,0.059,14.286,0.353,0.412,0.412,100.0,5.471,0.647,0.0,1.882,0.059,0.824,0.647,0.176,2.294,2.887,0.882,38.462,0.0,0.0,0.118,1.353,0.0,2.529,27.907,0.118,0.0,0,0.0,0.0,0.0,0.118,,1.941,8.824,0.824,0,,,0,,,0,,,0.294,2.778,60.0,0.059,3.882,6.353,4.706,3.294
Josh Caddy,Richmond,29,29.25,Midfielder,9,4.656,49.444,50.889,0,0.0,0,0,52.556,7.556,5.0,12.556,71.681,70.588,73.333,60.177,1.667,0.889,204.556,16.292,1.444,8.692,2.111,5.947,23.604,7.975,59.417,16.021,3.333,9.0,12.333,27.027,2.111,2.778,0.444,1.222,1.556,2.444,2.0,0.111,0.222,4.556,0.0,0.0,0.0,,0.667,0.667,0.778,71.429,4.0,0.0,0.444,0.0,0.111,0.444,0.333,0.111,0.0,0.0,0.0,,0.0,,0.0,1.222,0.222,0.333,0.0,0.667,0.0,2,0.222,0.556,1.111,0.222,20.0,2.889,12.381,0.778,10,2.572,-0.872,6,2.304,-0.971,4,2.975,-0.725,0.0,0.0,,0.333,1.0,7.0,3.222,0.667
Dustin Martin,Richmond,30,30.51,Mid-Forward,16,16.619,92.5,81.125,42,2.625,6,11,84.688,12.5,10.062,22.562,65.374,54.0,79.503,55.402,5.25,0.188,383.938,17.017,3.375,6.685,5.312,4.247,33.37,-6.525,50.195,-5.229,9.438,13.125,22.562,41.828,1.75,6.438,1.312,2.0,4.438,4.625,3.375,1.188,1.25,9.688,19.562,70.495,1.875,9.585,1.688,3.562,3.938,84.127,2.875,0.562,0.938,0.062,0.562,0.562,0.75,-0.188,0.125,0.157,0.0,0.0,0.0,,0.062,2.25,0.688,0.0,,1.438,56.522,19,1.188,0.438,2.0,1.0,59.375,5.938,26.836,1.125,32,3.245,0.536,9,4.06,0.162,23,2.926,0.682,0.0,0.0,,0.75,1.625,14.875,4.0,0.312
Jason Castagna,Richmond,25,25.47,Gen. Forward,21,5.986,53.0,54.762,0,0.0,0,0,78.762,5.714,6.0,11.714,71.545,60.833,81.746,48.78,1.524,0.19,143.048,12.211,1.286,9.111,2.238,5.234,28.377,4.534,57.336,-0.374,3.286,8.286,11.571,28.395,0.571,2.524,1.19,1.048,1.476,2.81,2.143,0.095,0.81,3.048,0.143,0.537,0.19,100.0,0.143,0.333,0.143,66.667,4.048,0.048,0.81,0.143,0.762,0.619,0.143,0.476,0.0,0.0,0.0,,0.0,,0.0,1.952,0.714,0.0,,0.905,21.053,17,0.81,0.619,1.762,0.333,45.946,4.0,18.221,0.381,37,3.633,-0.524,18,3.812,0.466,19,3.463,-1.463,0.0,0.0,,0.143,0.619,13.952,3.571,0.476
Jake Aarts,Richmond,27,27.06,Gen. Forward,21,6.748,53.0,47.429,0,0.0,0,0,72.762,5.81,4.762,10.571,75.676,65.574,88.0,54.955,1.905,0.286,144.143,13.635,2.619,4.036,2.381,4.44,31.668,2.814,58.482,1.288,4.857,5.857,10.714,45.333,1.476,3.667,1.381,2.048,1.619,4.143,3.143,0.143,1.429,2.571,0.857,3.197,0.143,16.667,0.381,0.524,0.571,83.333,2.524,0.238,0.429,0.238,0.19,0.952,1.286,-0.333,0.0,0.0,0.0,,0.0,,0.0,2.524,1.095,0.0,,1.095,34.783,18,0.857,0.571,1.524,0.619,56.25,4.095,18.943,0.81,32,3.39,0.36,11,3.125,-0.398,21,3.529,0.757,0.0,0.0,,0.429,0.81,13.143,3.524,0.476
Marlion Pickett,Richmond,29,29.98,Midfielder,18,8.95,66.444,58.944,0,0.0,0,0,81.056,6.611,9.056,15.667,73.404,67.227,77.914,42.199,2.5,1.444,281.611,17.975,3.889,4.029,3.056,5.127,26.909,-1.666,49.638,0.848,7.667,8.944,16.611,46.154,3.556,5.5,0.556,1.667,3.833,5.389,4.111,0.5,1.833,4.722,3.944,14.609,0.444,11.268,0.944,1.389,1.833,78.788,3.5,0.333,0.222,0.5,0.111,0.611,1.889,-1.278,5.111,6.376,0.889,17.391,0.278,31.25,0.167,3.444,0.444,0.778,50.0,0.167,66.667,2,0.111,0.222,0.5,0.222,22.222,3.111,14.359,0.833,9,2.993,-1.215,3,2.165,-1.832,6,3.407,-0.907,0.0,0.0,,0.278,2.556,15.0,7.167,1.222
Callum Brown,Collingwood,23,23.67,Gen. Forward,15,4.753,46.4,48.533,0,0.0,0,0,60.4,4.4,7.133,11.533,73.988,62.121,81.308,38.15,1.267,0.333,111.929,9.794,1.4,8.238,2.2,5.242,29.7,-12.053,57.498,-2.596,3.733,7.6,11.333,32.941,1.0,2.933,1.133,1.133,1.8,2.667,2.2,0.133,1.067,4.467,3.2,12.5,0.2,6.25,0.667,0.867,0.267,50.0,2.733,0.133,0.2,0.067,0.333,0.533,0.333,0.2,0.0,0.0,0.0,,0.0,,0.0,2.933,0.933,0.0,,0.733,45.455,3,0.2,0.4,0.667,0.333,30.0,2.467,12.628,0.6,10,3.515,-1.115,3,4.19,-1.524,7,3.225,-0.939,0.0,0.0,,0.467,0.133,16.8,5.333,0.067
Brayden Sier,Collingwood,24,24.05,Midfielder,7,7.586,44.571,48.143,0,0.0,0,0,51.0,4.571,7.714,12.286,68.605,56.25,75.926,37.209,1.571,0.286,119.0,8.925,0.571,21.5,1.0,12.286,29.529,-3.442,58.49,2.38,6.429,5.857,12.286,52.326,1.571,4.286,0.714,2.143,2.143,2.286,1.857,1.571,0.571,2.571,10.714,41.899,0.571,5.333,1.714,2.286,3.429,54.167,2.286,0.143,0.143,0.0,0.286,0.429,0.0,0.429,0.0,0.0,0.0,,0.0,,0.0,2.714,0.286,0.0,,0.143,0.0,1,0.143,0.0,0.571,0.143,25.0,2.429,12.5,0.571,4,1.992,-0.492,1,1.773,-1.773,3,2.065,-0.065,0.0,0.0,,0.0,0.429,14.286,7.571,0.0
Tyler Brown,Collingwood,22,22.06,Midfielder,7,5.814,44.143,42.857,0,0.0,0,0,67.571,5.0,8.571,13.571,75.789,60.0,85.0,36.842,1.714,0.857,131.857,9.716,1.714,7.917,3.571,3.8,24.046,-5.865,52.855,-16.492,5.571,8.143,13.714,40.625,2.571,4.0,0.429,2.143,1.857,2.857,2.429,1.0,0.714,5.571,7.429,29.05,0.714,9.615,1.429,2.143,2.143,80.0,2.0,0.286,0.0,0.286,0.0,0.143,0.571,-0.429,0.0,0.0,0.0,,0.0,,0.0,1.571,0.286,0.143,0.0,0.143,0.0,0,0.0,0.0,0.143,0.0,0.0,2.286,11.429,0.571,1,2.58,-2.58,0,,,1,2.58,-2.58,0.0,0.0,,0.143,1.0,15.429,10.286,0.429
Jordan Roughead,Collingwood,31,31.15,Key Defender,21,8.143,71.619,60.667,6,0.286,1,0,95.429,9.048,4.143,13.19,83.032,84.737,79.31,68.592,0.667,3.286,181.7,13.817,1.714,7.694,2.286,5.771,15.938,-3.173,70.286,-2.201,4.286,8.571,12.857,33.333,5.333,2.381,0.0,0.429,1.952,4.048,2.286,0.095,0.857,2.476,0.0,0.0,0.0,,0.19,0.19,0.143,100.0,6.524,0.905,0.0,1.905,0.048,0.571,0.667,-0.095,1.048,1.337,0.429,40.909,0.095,22.222,0.0,1.667,0.0,3.524,24.324,0.0,,0,0.0,0.0,0.0,0.048,,1.714,8.675,0.667,0,,,0,,,0,,,0.476,5.208,70.0,0.143,7.571,6.81,5.762,6.667
Josh Thomas,Collingwood,30,30.24,Gen. Forward,20,8.34,59.15,58.05,0,0.0,0,0,72.15,7.4,5.9,13.3,68.797,61.486,77.966,55.639,2.2,0.35,182.789,13.566,1.4,9.5,2.2,6.045,29.698,-2.505,59.988,3.17,5.1,8.75,13.85,36.823,1.8,3.8,1.25,1.5,2.3,4.0,3.05,0.35,1.3,4.45,1.55,5.882,0.3,19.355,0.35,0.65,0.65,69.231,3.3,0.0,0.5,0.15,0.4,0.95,0.35,0.6,0.0,0.0,0.0,,0.0,,0.0,2.55,0.75,0.0,,0.5,10.0,12,0.6,0.45,1.35,0.55,44.444,4.25,21.684,0.65,27,3.336,-0.336,14,3.399,-0.899,13,3.269,0.27,0.0,0.0,,0.0,0.65,17.2,6.15,0.25
Stefan Martin,Western Bulldogs,35,35.12,Ruck,9,7.1,57.0,47.222,0,0.0,0,0,70.667,3.222,7.111,10.333,65.591,37.931,78.125,31.183,0.444,0.222,35.778,3.462,3.667,2.818,1.222,8.455,22.707,-18.36,60.614,-17.136,7.222,3.333,10.556,68.421,2.0,4.111,0.667,1.667,2.444,3.0,2.111,0.0,0.778,2.444,18.778,69.262,1.444,7.692,1.333,2.778,4.222,63.158,1.222,0.444,0.0,0.556,0.0,1.0,2.222,-1.222,53.444,62.306,17.111,32.017,5.444,31.818,1.333,1.889,0.556,0.667,33.333,1.0,0.0,1,0.111,0.0,0.333,0.222,33.333,3.333,12.605,2.222,3,2.918,-0.918,1,2.164,-2.164,2,3.295,-0.295,0.0,0.0,,0.0,2.222,7.111,3.111,1.444
Alex Keath,Western Bulldogs,29,29.94,Key Defender,23,8.883,68.043,52.13,28,1.217,9,0,94.478,7.0,5.087,12.087,85.971,80.745,93.162,57.914,0.652,2.13,155.478,12.863,1.565,7.722,1.696,7.128,17.942,-2.557,67.887,-3.144,5.435,7.304,12.739,42.662,6.435,3.087,0.0,1.043,2.043,5.087,2.87,0.0,0.739,2.739,0.0,0.0,0.0,,0.348,0.348,0.261,83.333,4.783,0.957,0.0,1.913,0.0,0.87,0.783,0.087,3.043,3.416,0.565,18.571,0.348,61.538,0.087,1.87,0.0,2.783,20.312,0.043,0.0,0,0.0,0.043,0.043,0.0,0.0,1.478,6.071,0.739,1,3.634,-2.634,1,3.634,-2.634,0,,,0.13,1.31,33.333,0.043,5.435,7.391,6.087,4.435
Josh Bruce,Western Bulldogs,29,29.56,Key Forward,20,8.16,66.9,62.8,16,0.8,2,5,86.75,6.9,4.15,11.05,65.611,65.217,66.265,62.443,1.65,0.2,175.6,15.891,3.05,3.623,2.9,3.81,28.06,-2.57,55.059,-4.079,5.4,5.8,11.2,48.214,1.15,2.8,1.55,1.35,1.45,4.85,2.5,0.0,0.95,1.5,1.85,6.814,0.1,5.405,0.2,0.3,0.45,66.667,5.0,1.5,2.7,0.2,1.3,0.65,1.3,-0.65,5.4,6.122,1.4,25.926,0.5,35.714,0.2,1.3,0.7,0.0,,3.0,26.667,48,2.4,1.05,4.15,0.35,57.831,5.45,20.644,0.65,83,3.495,0.228,64,3.592,0.377,19,3.171,-0.276,0.0,0.0,,0.0,1.45,8.8,1.45,0.85
Mitch Wallis,Western Bulldogs,29,29.18,Gen. Forward,6,4.55,45.667,45.333,0,0.0,0,0,63.333,4.667,5.5,10.167,78.689,67.857,87.879,45.902,1.833,0.0,114.0,11.213,2.167,4.692,2.333,4.357,29.875,6.967,48.011,-5.906,4.667,5.5,10.167,45.902,0.667,3.333,2.333,1.833,1.5,4.0,3.0,0.167,1.667,1.833,0.0,0.0,0.0,,0.667,0.667,0.5,100.0,3.333,0.5,1.167,0.0,0.5,0.833,0.5,0.333,0.167,0.189,0.0,0.0,0.0,,0.0,1.667,0.667,0.0,,1.333,37.5,4,0.667,0.333,1.333,0.167,50.0,4.5,17.647,0.5,8,4.247,-0.997,6,4.118,-0.951,2,4.634,-1.134,0.0,0.0,,0.0,0.5,10.0,1.5,0.333
David Mundy,Fremantle,36,36.44,Midfielder,22,14.391,99.636,89.0,69,3.136,11,20,76.182,11.273,13.864,25.136,72.333,64.516,78.689,44.846,4.409,1.227,314.773,12.523,3.227,7.789,3.773,6.663,27.879,0.829,52.022,5.394,11.091,14.909,26.0,42.657,2.682,6.864,0.455,2.727,4.136,4.045,3.273,2.455,1.5,11.182,16.682,65.187,1.909,11.444,3.409,5.318,6.045,78.195,3.091,0.136,0.091,0.136,0.091,0.818,0.955,-0.136,0.0,0.0,0.0,,0.0,,0.0,3.955,0.455,0.091,50.0,0.045,0.0,15,0.682,0.318,1.136,0.5,60.0,6.5,29.607,1.5,25,3.223,0.657,7,3.693,1.45,18,3.04,0.349,0.0,0.0,,0.045,1.864,17.091,8.045,0.273
Travis Colyer,Fremantle,30,30.35,Gen. Forward,22,8.373,59.455,56.364,0,0.0,0,0,82.136,8.864,3.773,12.636,64.029,60.513,72.289,70.144,2.864,0.5,262.682,20.788,2.045,6.178,2.682,4.712,28.618,6.076,53.444,11.862,4.409,8.318,12.727,34.643,1.636,3.636,1.409,0.818,2.818,3.545,3.136,0.273,1.591,3.955,0.0,0.0,0.0,,0.545,0.545,0.545,91.667,3.409,0.136,0.364,0.182,0.773,0.273,0.409,-0.136,0.0,0.0,0.0,,0.0,,0.0,2.0,0.591,0.0,,0.364,0.0,15,0.682,0.864,1.909,0.727,35.714,4.455,20.29,0.318,42,2.932,-0.337,11,2.993,-0.721,31,2.91,-0.201,0.0,0.0,,0.591,0.636,12.182,3.182,0.364
Reece Conca,Fremantle,29,29.38,Gen. Defender,10,4.76,54.1,49.0,0,0.0,0,0,72.2,6.8,6.7,13.5,82.963,80.882,85.075,50.37,0.6,2.6,158.8,11.763,2.3,5.87,2.7,5.0,18.749,-3.364,60.455,-5.07,4.0,9.0,13.0,30.769,4.6,3.2,0.0,1.6,1.6,3.5,2.8,0.0,0.9,5.1,0.0,0.0,0.0,,0.2,0.2,0.1,100.0,3.5,0.1,0.0,0.9,0.0,0.5,1.0,-0.5,0.0,0.0,0.0,,0.0,,0.0,1.8,0.0,0.9,33.333,0.2,0.0,0,0.0,0.0,0.0,0.0,,1.9,8.12,0.5,0,,,0,,,0,,,0.2,1.852,100.0,0.2,2.2,7.2,5.9,1.6
Matt Taberner,Fremantle,28,28.53,Key Forward,16,8.444,66.812,62.5,9,0.562,2,2,88.062,8.438,2.625,11.062,64.407,61.481,73.81,76.271,1.812,0.062,204.438,18.48,2.812,3.933,2.75,4.023,31.349,2.937,55.493,0.222,4.625,6.625,11.25,41.111,0.938,2.0,0.875,0.688,1.312,4.562,1.938,0.0,0.438,1.75,0.062,0.24,0.062,100.0,0.0,0.062,0.062,100.0,5.562,1.5,2.75,0.25,2.375,1.0,1.062,-0.062,0.375,0.464,0.0,0.0,0.0,,0.0,0.625,0.125,0.062,0.0,6.562,29.524,37,2.312,1.062,3.938,0.562,58.73,5.625,25.714,0.5,63,3.522,0.272,49,3.717,0.079,14,2.841,0.945,0.0,0.0,,0.0,0.875,7.062,1.25,0.625
Nathan Jones,Melbourne,33,33.94,Mid-Forward,8,4.5,40.375,45.375,0,0.0,0,0,59.75,6.25,5.625,11.875,70.526,54.0,88.889,52.632,1.875,1.125,169.0,14.232,1.75,6.786,1.75,6.786,25.287,3.284,56.386,7.899,3.375,8.375,11.75,28.723,1.5,2.75,0.5,1.25,1.5,2.125,1.875,0.125,0.75,5.25,3.0,11.94,0.125,4.167,0.75,0.875,0.75,66.667,2.875,0.125,0.375,0.125,0.0,0.375,0.5,-0.125,0.0,0.0,0.0,,0.0,,0.0,1.5,0.125,0.0,,0.125,100.0,2,0.25,0.375,0.875,0.25,28.571,3.875,15.122,0.375,7,3.025,-0.882,2,4.412,-0.912,5,2.47,-0.87,0.0,0.0,,0.0,0.25,8.375,4.0,0.25
